 Dist. Downslope Elevation Soil Loss

   OFE   Year   (meters)   (meters)  (kg/m**2)

    1    1      1.897     55.296      0.000
    1    1      3.794     54.497      0.000
    1    1      5.691     53.721      0.000
    1    1      7.588     52.966      0.000
    1    1      9.485     52.234      0.000
    1    1     11.382     51.523      0.000
    1    1     13.279     50.834      0.000
    1    1     15.175     50.168      0.000
    1    1     17.072     49.523      0.000
    1    1     18.969     48.901      0.000
    1    1     20.866     48.301      0.000
    1    1     22.763     47.722      0.000
    1    1     24.660     47.166      0.000
    1    1     26.557     46.632      0.000
    1    1     28.454     46.120      0.000
    1    1     30.351     45.623      0.000
    1    1     32.248     45.110      0.000
    1    1     34.145     44.579      0.000
    1    1     36.042     44.031      0.000
    1    1     37.939     43.464      0.000
    1    1     39.836     42.880      0.000
    1    1     41.733     42.277      0.000
    1    1     43.629     41.657      0.000
    1    1     45.526     41.025      0.000
    1    1     47.423     40.391      0.000
    1    1     49.320     39.755      0.000
    1    1     51.217     39.116      0.000
    1    1     53.114     38.475      0.000
    1    1     55.011     37.832      0.000
    1    1     56.908     37.186      0.000
    1    1     58.805     36.538      0.000
    1    1     60.702     35.892      0.000
    1    1     62.599     35.249      0.000
    1    1     64.496     34.609      0.000
    1    1     66.393     33.973      0.000
    1    1     68.290     33.340      0.000
    1    1     70.187     32.711      0.000
    1    1     72.083     32.085      0.000
    1    1     73.980     31.463      0.000
    1    1     75.877     30.845      0.000
    1    1     77.774     30.233      0.000
    1    1     79.671     29.625      0.000
    1    1     81.568     29.023      0.000
    1    1     83.465     28.425      0.000
    1    1     85.362     27.833      0.000
    1    1     87.259     27.245      0.000
    1    1     89.156     26.659      0.000
    1    1     91.053     26.069      0.000
    1    1     92.950     25.474      0.000
    1    1     94.847     24.875      0.000
    1    1     96.744     24.272      0.000
    1    1     98.641     23.665      0.000
    1    1    100.537     23.053      0.000
    1    1    102.434     22.437      0.000
    1    1    104.331     21.820      0.000
    1    1    106.228     21.206      0.000
    1    1    108.125     20.594      0.000
    1    1    110.022     19.984      0.000
    1    1    111.919     19.376      0.000
    1    1    113.816     18.770      0.000
    1    1    115.713     18.166      0.000
    1    1    117.610     17.566      0.000
    1    1    119.507     16.979      0.000
    1    1    121.404     16.407      0.000
    1    1    123.301     15.851      0.000
    1    1    125.198     15.311      0.000
    1    1    127.094     14.786      0.000
    1    1    128.991     14.277      0.000
    1    1    130.888     13.783      0.000
    1    1    132.785     13.302      0.000
    1    1    134.682     12.829      0.000
    1    1    136.579     12.362      0.000
    1    1    138.476     11.902      0.000
    1    1    140.373     11.449      0.000
    1    1    142.270     11.003      0.000
    1    1    144.167     10.564      0.000
    1    1    146.064     10.132      0.000
    1    1    147.961      9.702      0.000
    1    1    149.858      9.269      0.000
    1    1    151.755      8.835      0.000
    1    1    153.652      8.399      0.000
    1    1    155.548      7.960      0.000
    1    1    157.445      7.520      0.000
    1    1    159.342      7.078      0.000
    1    1    161.239      6.634      0.000
    1    1    163.136      6.190      0.000
    1    1    165.033      5.746      0.000
    1    1    166.930      5.302      0.000
    1    1    168.827      4.859      0.000
    1    1    170.724      4.416      0.000
    1    1    172.621      3.974      0.000
    1    1    174.518      3.532      0.000
    1    1    176.415      3.090      0.000
    1    1    178.312      2.648      0.000
    1    1    180.209      2.207      0.000
    1    1    182.106      1.765      0.000
    1    1    184.002      1.324      0.000
    1    1    185.899      0.882      0.000
    1    1    187.796      0.441      0.000
    1    1    189.693      0.000      0.000
    1    2      1.897     55.296      0.000
    1    2      3.794     54.497      0.000
    1    2      5.691     53.721      0.000
    1    2      7.588     52.966      0.000
    1    2      9.485     52.234      0.000
    1    2     11.382     51.523      0.000
    1    2     13.279     50.834      0.000
    1    2     15.175     50.168      0.000
    1    2     17.072     49.523      0.000
    1    2     18.969     48.901      0.000
    1    2     20.866     48.301      0.000
    1    2     22.763     47.722      0.000
    1    2     24.660     47.166      0.000
    1    2     26.557     46.632      0.000
    1    2     28.454     46.120      0.000
    1    2     30.351     45.623      0.000
    1    2     32.248     45.110      0.000
    1    2     34.145     44.579      0.000
    1    2     36.042     44.031      0.000
    1    2     37.939     43.464      0.000
    1    2     39.836     42.880      0.000
    1    2     41.733     42.277      0.000
    1    2     43.629     41.657      0.000
    1    2     45.526     41.025      0.000
    1    2     47.423     40.391      0.000
    1    2     49.320     39.755      0.000
    1    2     51.217     39.116      0.000
    1    2     53.114     38.475      0.000
    1    2     55.011     37.832      0.000
    1    2     56.908     37.186      0.000
    1    2     58.805     36.538      0.000
    1    2     60.702     35.892      0.000
    1    2     62.599     35.249      0.000
    1    2     64.496     34.609      0.000
    1    2     66.393     33.973      0.000
    1    2     68.290     33.340      0.000
    1    2     70.187     32.711      0.000
    1    2     72.083     32.085      0.000
    1    2     73.980     31.463      0.000
    1    2     75.877     30.845      0.000
    1    2     77.774     30.233      0.000
    1    2     79.671     29.625      0.000
    1    2     81.568     29.023      0.000
    1    2     83.465     28.425      0.000
    1    2     85.362     27.833      0.000
    1    2     87.259     27.245      0.000
    1    2     89.156     26.659      0.000
    1    2     91.053     26.069      0.000
    1    2     92.950     25.474      0.000
    1    2     94.847     24.875      0.000
    1    2     96.744     24.272      0.000
    1    2     98.641     23.665      0.000
    1    2    100.537     23.053      0.000
    1    2    102.434     22.437      0.000
    1    2    104.331     21.820      0.000
    1    2    106.228     21.206      0.000
    1    2    108.125     20.594      0.000
    1    2    110.022     19.984      0.000
    1    2    111.919     19.376      0.000
    1    2    113.816     18.770      0.000
    1    2    115.713     18.166      0.000
    1    2    117.610     17.566      0.000
    1    2    119.507     16.979      0.000
    1    2    121.404     16.407      0.000
    1    2    123.301     15.851      0.000
    1    2    125.198     15.311      0.000
    1    2    127.094     14.786      0.000
    1    2    128.991     14.277      0.000
    1    2    130.888     13.783      0.000
    1    2    132.785     13.302      0.000
    1    2    134.682     12.829      0.000
    1    2    136.579     12.362      0.000
    1    2    138.476     11.902      0.000
    1    2    140.373     11.449      0.000
    1    2    142.270     11.003      0.000
    1    2    144.167     10.564      0.000
    1    2    146.064     10.132      0.000
    1    2    147.961      9.702      0.000
    1    2    149.858      9.269      0.000
    1    2    151.755      8.835      0.000
    1    2    153.652      8.399      0.000
    1    2    155.548      7.960      0.000
    1    2    157.445      7.520      0.000
    1    2    159.342      7.078      0.000
    1    2    161.239      6.634      0.000
    1    2    163.136      6.190      0.000
    1    2    165.033      5.746      0.000
    1    2    166.930      5.302      0.000
    1    2    168.827      4.859      0.000
    1    2    170.724      4.416      0.000
    1    2    172.621      3.974      0.000
    1    2    174.518      3.532      0.000
    1    2    176.415      3.090      0.000
    1    2    178.312      2.648      0.000
    1    2    180.209      2.207      0.000
    1    2    182.106      1.765      0.000
    1    2    184.002      1.324      0.000
    1    2    185.899      0.882      0.000
    1    2    187.796      0.441      0.000
    1    2    189.693      0.000      0.000
    1    3      1.897     55.296      0.000
    1    3      3.794     54.497      0.000
    1    3      5.691     53.721      0.000
    1    3      7.588     52.966      0.000
    1    3      9.485     52.234      0.000
    1    3     11.382     51.523      0.000
    1    3     13.279     50.834      0.000
    1    3     15.175     50.168      0.000
    1    3     17.072     49.523      0.000
    1    3     18.969     48.901      0.000
    1    3     20.866     48.301      0.000
    1    3     22.763     47.722      0.000
    1    3     24.660     47.166      0.000
    1    3     26.557     46.632      0.000
    1    3     28.454     46.120      0.000
    1    3     30.351     45.623      0.000
    1    3     32.248     45.110      0.000
    1    3     34.145     44.579      0.000
    1    3     36.042     44.031      0.000
    1    3     37.939     43.464      0.000
    1    3     39.836     42.880      0.000
    1    3     41.733     42.277      0.000
    1    3     43.629     41.657      0.000
    1    3     45.526     41.025      0.000
    1    3     47.423     40.391      0.000
    1    3     49.320     39.755      0.000
    1    3     51.217     39.116      0.000
    1    3     53.114     38.475      0.000
    1    3     55.011     37.832      0.000
    1    3     56.908     37.186      0.000
    1    3     58.805     36.538      0.000
    1    3     60.702     35.892      0.000
    1    3     62.599     35.249      0.000
    1    3     64.496     34.609      0.000
    1    3     66.393     33.973      0.000
    1    3     68.290     33.340      0.000
    1    3     70.187     32.711      0.000
    1    3     72.083     32.085      0.000
    1    3     73.980     31.463      0.000
    1    3     75.877     30.845      0.000
    1    3     77.774     30.233      0.000
    1    3     79.671     29.625      0.000
    1    3     81.568     29.023      0.000
    1    3     83.465     28.425      0.000
    1    3     85.362     27.833      0.000
    1    3     87.259     27.245      0.000
    1    3     89.156     26.659      0.000
    1    3     91.053     26.069      0.000
    1    3     92.950     25.474      0.000
    1    3     94.847     24.875      0.000
    1    3     96.744     24.272      0.000
    1    3     98.641     23.665      0.000
    1    3    100.537     23.053      0.000
    1    3    102.434     22.437      0.000
    1    3    104.331     21.820      0.000
    1    3    106.228     21.206      0.000
    1    3    108.125     20.594      0.000
    1    3    110.022     19.984      0.000
    1    3    111.919     19.376      0.000
    1    3    113.816     18.770      0.000
    1    3    115.713     18.166      0.000
    1    3    117.610     17.566      0.000
    1    3    119.507     16.979      0.000
    1    3    121.404     16.407      0.000
    1    3    123.301     15.851      0.000
    1    3    125.198     15.311      0.000
    1    3    127.094     14.786      0.000
    1    3    128.991     14.277      0.000
    1    3    130.888     13.783      0.000
    1    3    132.785     13.302      0.000
    1    3    134.682     12.829      0.000
    1    3    136.579     12.362      0.000
    1    3    138.476     11.902      0.000
    1    3    140.373     11.449      0.000
    1    3    142.270     11.003      0.000
    1    3    144.167     10.564      0.000
    1    3    146.064     10.132      0.000
    1    3    147.961      9.702      0.000
    1    3    149.858      9.269      0.000
    1    3    151.755      8.835      0.000
    1    3    153.652      8.399      0.000
    1    3    155.548      7.960      0.000
    1    3    157.445      7.520      0.000
    1    3    159.342      7.078      0.000
    1    3    161.239      6.634      0.000
    1    3    163.136      6.190      0.000
    1    3    165.033      5.746      0.000
    1    3    166.930      5.302      0.000
    1    3    168.827      4.859      0.000
    1    3    170.724      4.416      0.000
    1    3    172.621      3.974      0.000
    1    3    174.518      3.532      0.000
    1    3    176.415      3.090      0.000
    1    3    178.312      2.648      0.000
    1    3    180.209      2.207      0.000
    1    3    182.106      1.765      0.000
    1    3    184.002      1.324      0.000
    1    3    185.899      0.882      0.000
    1    3    187.796      0.441      0.000
    1    3    189.693      0.000      0.000
    1    4      1.897     55.296      0.000
    1    4      3.794     54.497      0.000
    1    4      5.691     53.721      0.000
    1    4      7.588     52.966      0.000
    1    4      9.485     52.234      0.000
    1    4     11.382     51.523      0.000
    1    4     13.279     50.834      0.000
    1    4     15.175     50.168      0.000
    1    4     17.072     49.523      0.000
    1    4     18.969     48.901      0.000
    1    4     20.866     48.301      0.000
    1    4     22.763     47.722      0.000
    1    4     24.660     47.166      0.000
    1    4     26.557     46.632      0.000
    1    4     28.454     46.120      0.000
    1    4     30.351     45.623      0.000
    1    4     32.248     45.110      0.000
    1    4     34.145     44.579      0.000
    1    4     36.042     44.031      0.000
    1    4     37.939     43.464      0.000
    1    4     39.836     42.880      0.000
    1    4     41.733     42.277      0.000
    1    4     43.629     41.657      0.000
    1    4     45.526     41.025      0.000
    1    4     47.423     40.391      0.000
    1    4     49.320     39.755      0.000
    1    4     51.217     39.116      0.000
    1    4     53.114     38.475      0.000
    1    4     55.011     37.832      0.000
    1    4     56.908     37.186      0.000
    1    4     58.805     36.538      0.000
    1    4     60.702     35.892      0.000
    1    4     62.599     35.249      0.000
    1    4     64.496     34.609      0.000
    1    4     66.393     33.973      0.000
    1    4     68.290     33.340      0.000
    1    4     70.187     32.711      0.000
    1    4     72.083     32.085      0.000
    1    4     73.980     31.463      0.000
    1    4     75.877     30.845      0.000
    1    4     77.774     30.233      0.000
    1    4     79.671     29.625      0.000
    1    4     81.568     29.023      0.000
    1    4     83.465     28.425      0.000
    1    4     85.362     27.833      0.000
    1    4     87.259     27.245      0.000
    1    4     89.156     26.659      0.000
    1    4     91.053     26.069      0.000
    1    4     92.950     25.474      0.000
    1    4     94.847     24.875      0.000
    1    4     96.744     24.272      0.000
    1    4     98.641     23.665      0.000
    1    4    100.537     23.053      0.000
    1    4    102.434     22.437      0.000
    1    4    104.331     21.820      0.000
    1    4    106.228     21.206      0.000
    1    4    108.125     20.594      0.000
    1    4    110.022     19.984      0.000
    1    4    111.919     19.376      0.000
    1    4    113.816     18.770      0.000
    1    4    115.713     18.166      0.000
    1    4    117.610     17.566      0.000
    1    4    119.507     16.979      0.000
    1    4    121.404     16.407      0.000
    1    4    123.301     15.851      0.000
    1    4    125.198     15.311      0.000
    1    4    127.094     14.786      0.000
    1    4    128.991     14.277      0.000
    1    4    130.888     13.783      0.000
    1    4    132.785     13.302      0.000
    1    4    134.682     12.829      0.000
    1    4    136.579     12.362      0.000
    1    4    138.476     11.902      0.000
    1    4    140.373     11.449      0.000
    1    4    142.270     11.003      0.000
    1    4    144.167     10.564      0.000
    1    4    146.064     10.132      0.000
    1    4    147.961      9.702      0.000
    1    4    149.858      9.269      0.000
    1    4    151.755      8.835      0.000
    1    4    153.652      8.399      0.000
    1    4    155.548      7.960      0.000
    1    4    157.445      7.520      0.000
    1    4    159.342      7.078      0.000
    1    4    161.239      6.634      0.000
    1    4    163.136      6.190      0.000
    1    4    165.033      5.746      0.000
    1    4    166.930      5.302      0.000
    1    4    168.827      4.859      0.000
    1    4    170.724      4.416      0.000
    1    4    172.621      3.974      0.000
    1    4    174.518      3.532      0.000
    1    4    176.415      3.090      0.000
    1    4    178.312      2.648      0.000
    1    4    180.209      2.207      0.000
    1    4    182.106      1.765      0.000
    1    4    184.002      1.324      0.000
    1    4    185.899      0.882      0.000
    1    4    187.796      0.441      0.000
    1    4    189.693      0.000      0.000
    1    5      1.897     55.296      0.000
    1    5      3.794     54.497      0.000
    1    5      5.691     53.721      0.000
    1    5      7.588     52.966      0.000
    1    5      9.485     52.234      0.000
    1    5     11.382     51.523      0.000
    1    5     13.279     50.834      0.000
    1    5     15.175     50.168      0.000
    1    5     17.072     49.523      0.000
    1    5     18.969     48.901      0.000
    1    5     20.866     48.301      0.000
    1    5     22.763     47.722      0.000
    1    5     24.660     47.166      0.000
    1    5     26.557     46.632      0.000
    1    5     28.454     46.120      0.000
    1    5     30.351     45.623      0.000
    1    5     32.248     45.110      0.000
    1    5     34.145     44.579      0.000
    1    5     36.042     44.031      0.000
    1    5     37.939     43.464      0.000
    1    5     39.836     42.880      0.000
    1    5     41.733     42.277      0.000
    1    5     43.629     41.657      0.000
    1    5     45.526     41.025      0.000
    1    5     47.423     40.391      0.000
    1    5     49.320     39.755      0.000
    1    5     51.217     39.116      0.000
    1    5     53.114     38.475      0.000
    1    5     55.011     37.832      0.000
    1    5     56.908     37.186      0.000
    1    5     58.805     36.538      0.000
    1    5     60.702     35.892      0.000
    1    5     62.599     35.249      0.000
    1    5     64.496     34.609      0.000
    1    5     66.393     33.973      0.000
    1    5     68.290     33.340      0.000
    1    5     70.187     32.711      0.000
    1    5     72.083     32.085      0.000
    1    5     73.980     31.463      0.000
    1    5     75.877     30.845      0.000
    1    5     77.774     30.233      0.000
    1    5     79.671     29.625      0.000
    1    5     81.568     29.023      0.000
    1    5     83.465     28.425      0.000
    1    5     85.362     27.833      0.000
    1    5     87.259     27.245      0.000
    1    5     89.156     26.659      0.000
    1    5     91.053     26.069      0.000
    1    5     92.950     25.474      0.000
    1    5     94.847     24.875      0.000
    1    5     96.744     24.272      0.000
    1    5     98.641     23.665      0.000
    1    5    100.537     23.053      0.000
    1    5    102.434     22.437      0.000
    1    5    104.331     21.820      0.000
    1    5    106.228     21.206      0.000
    1    5    108.125     20.594      0.000
    1    5    110.022     19.984      0.000
    1    5    111.919     19.376      0.000
    1    5    113.816     18.770      0.000
    1    5    115.713     18.166      0.000
    1    5    117.610     17.566      0.000
    1    5    119.507     16.979      0.000
    1    5    121.404     16.407      0.000
    1    5    123.301     15.851      0.000
    1    5    125.198     15.311      0.000
    1    5    127.094     14.786      0.000
    1    5    128.991     14.277      0.000
    1    5    130.888     13.783      0.000
    1    5    132.785     13.302      0.000
    1    5    134.682     12.829      0.000
    1    5    136.579     12.362      0.000
    1    5    138.476     11.902      0.000
    1    5    140.373     11.449      0.000
    1    5    142.270     11.003      0.000
    1    5    144.167     10.564      0.000
    1    5    146.064     10.132      0.000
    1    5    147.961      9.702      0.000
    1    5    149.858      9.269      0.000
    1    5    151.755      8.835      0.000
    1    5    153.652      8.399      0.000
    1    5    155.548      7.960      0.000
    1    5    157.445      7.520      0.000
    1    5    159.342      7.078      0.000
    1    5    161.239      6.634      0.000
    1    5    163.136      6.190      0.000
    1    5    165.033      5.746      0.000
    1    5    166.930      5.302      0.000
    1    5    168.827      4.859      0.000
    1    5    170.724      4.416      0.000
    1    5    172.621      3.974      0.000
    1    5    174.518      3.532      0.000
    1    5    176.415      3.090      0.000
    1    5    178.312      2.648      0.000
    1    5    180.209      2.207      0.000
    1    5    182.106      1.765      0.000
    1    5    184.002      1.324      0.000
    1    5    185.899      0.882      0.000
    1    5    187.796      0.441      0.000
    1    5    189.693      0.000      0.000
    1    6      1.897     55.296      0.000
    1    6      3.794     54.497      0.000
    1    6      5.691     53.721      0.000
    1    6      7.588     52.966      0.000
    1    6      9.485     52.234      0.000
    1    6     11.382     51.523      0.000
    1    6     13.279     50.834      0.000
    1    6     15.175     50.168      0.000
    1    6     17.072     49.523      0.000
    1    6     18.969     48.901      0.000
    1    6     20.866     48.301      0.000
    1    6     22.763     47.722      0.000
    1    6     24.660     47.166      0.000
    1    6     26.557     46.632      0.000
    1    6     28.454     46.120      0.000
    1    6     30.351     45.623      0.000
    1    6     32.248     45.110      0.000
    1    6     34.145     44.579      0.000
    1    6     36.042     44.031      0.000
    1    6     37.939     43.464      0.000
    1    6     39.836     42.880      0.000
    1    6     41.733     42.277      0.000
    1    6     43.629     41.657      0.000
    1    6     45.526     41.025      0.000
    1    6     47.423     40.391      0.000
    1    6     49.320     39.755      0.000
    1    6     51.217     39.116      0.000
    1    6     53.114     38.475      0.000
