 Dist. Downslope Elevation Soil Loss

   (meters)   (meters)  (kg/m**2)

      5.093    143.863      0.000
     10.187    142.187      0.000
     15.280    140.545      0.000
     20.374    138.938      0.000
     25.467    137.366      0.000
     30.561    135.829      0.000
     35.654    134.326      0.000
     40.748    132.858      0.000
     45.841    131.426      0.000
     50.935    130.005      0.000
     56.028    128.567      0.000
     61.122    127.109      0.000
     66.215    125.633      0.000
     71.309    124.137      0.000
     76.402    122.623      0.000
     81.496    121.091      0.000
     86.589    119.539      0.000
     91.683    117.968      0.000
     96.776    116.390      0.000
    101.870    114.823      0.000
    106.963    113.269      0.000
    112.056    111.727      0.000
    117.150    110.198      0.000
    122.243    108.682      0.000
    127.337    107.178      0.000
    132.430    105.686      0.000
    137.524    104.208      0.000
    142.617    102.736      0.000
    147.711    101.255      0.000
    152.804     99.766      0.000
    157.898     98.268      0.000
    162.991     96.761      0.000
    168.085     95.245      0.000
    173.178     93.720      0.000
    178.272     92.186      0.000
    183.365     90.643      0.000
    188.459     89.090      0.000
    193.552     87.528      0.000
    198.646     85.956      0.000
    203.739     84.374      0.000
    208.832     82.782      0.000
    213.926     81.180      0.000
    219.019     79.568      0.000
    224.113     77.946      0.000
    229.206     76.314      0.000
    234.300     74.674      0.000
    239.393     73.040      0.000
    244.487     71.412      0.000
    249.580     69.792      0.000
    254.674     68.178      0.000
    259.767     66.572      0.000
    264.861     64.972      0.000
    269.954     63.379      0.000
    275.048     61.794      0.000
    280.141     60.214      0.000
    285.235     58.637      0.000
    290.328     57.062      0.000
    295.422     55.489      0.000
    300.515     53.918      0.000
    305.609     52.348      0.000
    310.702     50.780      0.000
    315.795     49.214      0.000
    320.889     47.650      0.000
    325.982     46.088      0.000
    331.076     44.527      0.000
    336.169     42.969      0.000
    341.263     41.413      0.000
    346.356     39.859      0.000
    351.450     38.307      0.000
    356.543     36.757      0.000
    361.637     35.210      0.000
    366.730     33.664      0.000
    371.824     32.121      0.000
    376.917     30.591      0.000
    382.011     29.078      0.000
    387.104     27.582      0.000
    392.198     26.102      0.000
    397.291     24.639      0.000
    402.385     23.194      0.000
    407.478     21.765      0.000
    412.572     20.353      0.000
    417.665     18.958      0.000
    422.758     17.600      0.000
    427.852     16.290      0.000
    432.945     15.028      0.000
    438.039     13.813      0.000
    443.132     12.645      0.000
    448.226     11.526      0.000
    453.319     10.453      0.000
    458.413      9.429      0.000
    463.506      8.451      0.000
    468.600      7.496      0.000
    473.693      6.545      0.000
    478.787      5.598      0.000
    483.880      4.655      0.000
    488.974      3.716      0.000
    494.067      2.781      0.000
    499.161      1.850      0.000
    504.254      0.923      0.000
    509.348      0.000      0.000
