 Dist. Downslope Elevation Soil Loss

   (meters)   (meters)  (kg/m**2)

      1.318     45.561      0.000
      2.636     45.131      0.000
      3.954     44.697      0.000
      5.272     44.260      0.000
      6.590     43.820      0.000
      7.908     43.377      0.000
      9.226     42.930      0.000
     10.544     42.481      0.000
     11.862     42.029      0.000
     13.180     41.573      0.000
     14.498     41.115      0.000
     15.816     40.653      0.000
     17.134     40.188      0.000
     18.452     39.720      0.000
     19.770     39.250      0.000
     21.088     38.781      0.000
     22.406     38.312      0.000
     23.724     37.843      0.000
     25.042     37.375      0.000
     26.360     36.908      0.000
     27.678     36.441      0.000
     28.996     35.974      0.000
     30.314     35.508      0.000
     31.632     35.043      0.000
     32.950     34.578      0.000
     34.269     34.114      0.000
     35.587     33.650      0.000
     36.905     33.187      0.000
     38.223     32.724      0.000
     39.541     32.262      0.000
     40.859     31.801      0.000
     42.177     31.341      0.000
     43.495     30.882      0.000
     44.813     30.423      0.000
     46.131     29.965      0.000
     47.449     29.508      0.000
     48.767     29.051      0.000
     50.085     28.596      0.000
     51.403     28.141      0.000
     52.721     27.687      0.000
     54.039     27.234      0.000
     55.357     26.782      0.000
     56.675     26.330      0.000
     57.993     25.879      0.000
     59.311     25.426      0.000
     60.629     24.974      0.000
     61.947     24.520      0.000
     63.265     24.066      0.000
     64.583     23.611      0.000
     65.901     23.156      0.000
     67.219     22.700      0.000
     68.537     22.244      0.000
     69.855     21.787      0.000
     71.173     21.329      0.000
     72.491     20.871      0.000
     73.809     20.412      0.000
     75.127     19.952      0.000
     76.445     19.493      0.000
     77.763     19.033      0.000
     79.081     18.573      0.000
     80.399     18.114      0.000
     81.717     17.655      0.000
     83.035     17.196      0.000
     84.353     16.738      0.000
     85.671     16.279      0.000
     86.989     15.821      0.000
     88.307     15.363      0.000
     89.625     14.905      0.000
     90.943     14.447      0.000
     92.261     13.989      0.000
     93.579     13.532      0.000
     94.897     13.074      0.000
     96.215     12.616      0.000
     97.533     12.156      0.000
     98.851     11.694      0.000
    100.169     11.231      0.000
    101.488     10.767      0.000
    102.806     10.301      0.000
    104.124      9.834      0.000
    105.442      9.365      0.000
    106.760      8.895      0.000
    108.078      8.424      0.000
    109.396      7.951      0.000
    110.714      7.477      0.000
    112.032      7.001      0.000
    113.350      6.524      0.000
    114.668      6.048      0.000
    115.986      5.574      0.000
    117.304      5.101      0.000
    118.622      4.629      0.000
    119.940      4.160      0.000
    121.258      3.691      0.000
    122.576      3.224      0.000
    123.894      2.759      0.000
    125.212      2.295      0.000
    126.530      1.833      0.000
    127.848      1.373      0.000
    129.166      0.914      0.000
    130.484      0.456      0.000
    131.802      0.000      0.000
