 Dist. Downslope Elevation Soil Loss

   (meters)   (meters)  (kg/m**2)

      0.855     21.363      0.000
      1.709     21.153      0.000
      2.564     20.942      0.000
      3.419     20.728      0.000
      4.273     20.514      0.000
      5.128     20.297      0.000
      5.983     20.079      0.000
      6.837     19.859      0.000
      7.692     19.638      0.000
      8.547     19.415      0.000
      9.401     19.190      0.000
     10.256     18.964      0.000
     11.111     18.736      0.000
     11.965     18.506      0.000
     12.820     18.275      0.000
     13.675     18.044      0.000
     14.529     17.814      0.000
     15.384     17.583      0.000
     16.239     17.352      0.000
     17.093     17.122      0.000
     17.948     16.891      0.000
     18.803     16.661      0.000
     19.657     16.431      0.000
     20.512     16.200      0.000
     21.367     15.970      0.000
     22.221     15.740      0.000
     23.076     15.510      0.000
     23.931     15.280      0.000
     24.785     15.050      0.000
     25.640     14.819      0.000
     26.495     14.586      0.000
     27.349     14.351      0.000
     28.204     14.115      0.000
     29.059     13.877      0.000
     29.913     13.637      0.000
     30.768     13.396      0.000
     31.623     13.154      0.000
     32.477     12.909      0.000
     33.332     12.663      0.000
     34.187     12.416      0.000
     35.041     12.167      0.000
     35.896     11.916      0.000
     36.751     11.664      0.000
     37.605     11.411      0.000
     38.460     11.161      0.000
     39.315     10.911      0.000
     40.169     10.663      0.000
     41.024     10.417      0.000
     41.879     10.172      0.000
     42.733      9.928      0.000
     43.588      9.686      0.000
     44.443      9.445      0.000
     45.297      9.205      0.000
     46.152      8.967      0.000
     47.007      8.730      0.000
     47.861      8.494      0.000
     48.716      8.260      0.000
     49.570      8.028      0.000
     50.425      7.797      0.000
     51.280      7.568      0.000
     52.134      7.340      0.000
     52.989      7.114      0.000
     53.844      6.890      0.000
     54.698      6.668      0.000
     55.553      6.447      0.000
     56.408      6.228      0.000
     57.262      6.010      0.000
     58.117      5.795      0.000
     58.972      5.581      0.000
     59.826      5.368      0.000
     60.681      5.158      0.000
     61.536      4.949      0.000
     62.390      4.743      0.000
     63.245      4.539      0.000
     64.100      4.339      0.000
     64.954      4.141      0.000
     65.809      3.946      0.000
     66.664      3.754      0.000
     67.518      3.565      0.000
     68.373      3.378      0.000
     69.228      3.195      0.000
     70.082      3.014      0.000
     70.937      2.836      0.000
     71.792      2.661      0.000
     72.646      2.488      0.000
     73.501      2.319      0.000
     74.356      2.150      0.000
     75.210      1.982      0.000
     76.065      1.814      0.000
     76.920      1.647      0.000
     77.774      1.480      0.000
     78.629      1.314      0.000
     79.484      1.148      0.000
     80.338      0.983      0.000
     81.193      0.818      0.000
     82.048      0.653      0.000
     82.902      0.489      0.000
     83.757      0.326      0.000
     84.612      0.163      0.000
     85.466      0.000      0.000
