 Dist. Downslope Elevation Soil Loss

   (meters)   (meters)  (kg/m**2)

      2.389     74.160      0.000
      4.777     73.673      0.000
      7.166     73.167      0.000
      9.554     72.645      0.000
     11.943     72.105      0.000
     14.331     71.547      0.000
     16.720     70.972      0.000
     19.108     70.380      0.000
     21.497     69.770      0.000
     23.885     69.143      0.000
     26.274     68.507      0.000
     28.662     67.870      0.000
     31.051     67.232      0.000
     33.439     66.593      0.000
     35.828     65.953      0.000
     38.216     65.313      0.000
     40.605     64.671      0.000
     42.993     64.029      0.000
     45.382     63.385      0.000
     47.770     62.741      0.000
     50.159     62.083      0.000
     52.547     61.398      0.000
     54.936     60.684      0.000
     57.324     59.944      0.000
     59.713     59.176      0.000
     62.101     58.381      0.000
     64.490     57.558      0.000
     66.878     56.708      0.000
     69.267     55.830      0.000
     71.655     54.925      0.000
     74.044     54.005      0.000
     76.432     53.084      0.000
     78.821     52.160      0.000
     81.210     51.234      0.000
     83.598     50.307      0.000
     85.987     49.377      0.000
     88.375     48.446      0.000
     90.764     47.512      0.000
     93.152     46.577      0.000
     95.541     45.639      0.000
     97.929     44.703      0.000
    100.318     43.772      0.000
    102.706     42.847      0.000
    105.095     41.926      0.000
    107.483     41.011      0.000
    109.872     40.100      0.000
    112.260     39.195      0.000
    114.649     38.295      0.000
    117.037     37.400      0.000
    119.426     36.510      0.000
    121.814     35.623      0.000
    124.203     34.737      0.000
    126.591     33.852      0.000
    128.980     32.968      0.000
    131.368     32.085      0.000
    133.757     31.203      0.000
    136.145     30.322      0.000
    138.534     29.442      0.000
    140.922     28.562      0.000
    143.311     27.684      0.000
    145.699     26.812      0.000
    148.088     25.952      0.000
    150.476     25.103      0.000
    152.865     24.266      0.000
    155.254     23.440      0.000
    157.642     22.626      0.000
    160.031     21.824      0.000
    162.419     21.033      0.000
    164.808     20.254      0.000
    167.196     19.486      0.000
    169.585     18.730      0.000
    171.973     17.987      0.000
    174.362     17.255      0.000
    176.750     16.535      0.000
    179.139     15.827      0.000
    181.527     15.131      0.000
    183.916     14.447      0.000
    186.304     13.776      0.000
    188.693     13.116      0.000
    191.081     12.468      0.000
    193.470     11.827      0.000
    195.858     11.189      0.000
    198.247     10.553      0.000
    200.635      9.920      0.000
    203.024      9.290      0.000
    205.412      8.663      0.000
    207.801      8.038      0.000
    210.189      7.415      0.000
    212.578      6.796      0.000
    214.966      6.178      0.000
    217.355      5.562      0.000
    219.743      4.946      0.000
    222.132      4.329      0.000
    224.520      3.712      0.000
    226.909      3.094      0.000
    229.297      2.476      0.000
    231.686      1.858      0.000
    234.075      1.239      0.000
    236.463      0.620      0.000
    238.852      0.000      0.000
