 Dist. Downslope Elevation Soil Loss

   (meters)   (meters)  (kg/m**2)

      2.835     98.402      0.000
      5.671     97.667      0.000
      8.506     96.883      0.000
     11.341     96.050      0.000
     14.177     95.168      0.000
     17.012     94.241      0.000
     19.847     93.308      0.000
     22.683     92.375      0.000
     25.518     91.443      0.000
     28.353     90.511      0.000
     31.189     89.580      0.000
     34.024     88.652      0.000
     36.859     87.731      0.000
     39.695     86.817      0.000
     42.530     85.910      0.000
     45.365     85.009      0.000
     48.201     84.114      0.000
     51.036     83.204      0.000
     53.871     82.272      0.000
     56.707     81.319      0.000
     59.542     80.346      0.000
     62.377     79.350      0.000
     65.213     78.340      0.000
     68.048     77.328      0.000
     70.883     76.315      0.000
     73.719     75.300      0.000
     76.554     74.283      0.000
     79.389     73.266      0.000
     82.225     72.268      0.000
     85.060     71.296      0.000
     87.895     70.352      0.000
     90.731     69.435      0.000
     93.566     68.544      0.000
     96.402     67.676      0.000
     99.237     66.816      0.000
    102.072     65.963      0.000
    104.908     65.116      0.000
    107.743     64.276      0.000
    110.578     63.443      0.000
    113.414     62.594      0.000
    116.249     61.715      0.000
    119.084     60.806      0.000
    121.920     59.867      0.000
    124.755     58.898      0.000
    127.590     57.903      0.000
    130.426     56.899      0.000
    133.261     55.889      0.000
    136.096     54.873      0.000
    138.932     53.850      0.000
    141.767     52.821      0.000
    144.602     51.785      0.000
    147.438     50.742      0.000
    150.273     49.691      0.000
    153.108     48.633      0.000
    155.944     47.567      0.000
    158.779     46.497      0.000
    161.614     45.449      0.000
    164.450     44.426      0.000
    167.285     43.430      0.000
    170.120     42.460      0.000
    172.956     41.517      0.000
    175.791     40.571      0.000
    178.626     39.580      0.000
    181.462     38.544      0.000
    184.297     37.463      0.000
    187.132     36.335      0.000
    189.968     35.166      0.000
    192.803     33.999      0.000
    195.638     32.848      0.000
    198.474     31.713      0.000
    201.309     30.594      0.000
    204.144     29.490      0.000
    206.980     28.394      0.000
    209.815     27.283      0.000
    212.650     26.157      0.000
    215.486     25.016      0.000
    218.321     23.860      0.000
    221.156     22.690      0.000
    223.992     21.541      0.000
    226.827     20.428      0.000
    229.662     19.352      0.000
    232.498     18.311      0.000
    235.333     17.307      0.000
    238.168     16.320      0.000
    241.004     15.289      0.000
    243.839     14.210      0.000
    246.674     13.084      0.000
    249.510     11.909      0.000
    252.345     10.686      0.000
    255.180      9.485      0.000
    258.016      8.350      0.000
    260.851      7.282      0.000
    263.686      6.280      0.000
    266.522      5.345      0.000
    269.357      4.465      0.000
    272.193      3.585      0.000
    275.028      2.699      0.000
    277.863      1.806      0.000
    280.699      0.906      0.000
    283.534      0.000      0.000
