 OFE DD MM YYYY  Precip   Runoff   EffInt PeakRO  EffDur Enrich    Keff   Sm  LeafArea  CanHgt  Cancov IntCov  RilCov  LivBio DeadBio  Ki    Kr     Tcrit RilWid   SedLeave
 na  na na  na     mm       mm     mm/h    mm/h      h    Ratio    mm/h   mm    Index    m       %       %       %     Kg/m^2  Kg/m^2  na    na      na     m       kg/m
  1  1  1    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 371.425   5.089  2.337   90.000   99.900   99.900    0.164  1.381  0.111  0.249  6.710  0.150    0.000
  1 15  1    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 234.498   5.092  2.339   90.024   99.897   99.897    0.165  1.376  0.111  0.250  6.710  0.150    0.000
  1  1  2    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 210.091   5.092  2.339   90.024   99.896   99.896    0.165  1.374  0.111  0.250  6.710  0.150    0.000
  1 15  2    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 235.571   5.092  2.339   90.024   99.895   99.895    0.165  1.372  0.111  0.105  6.710  0.150    0.000
  1  1  3    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 213.610   5.121  2.360   90.295   99.892   99.892    0.167  1.366  0.111  0.252  6.710  0.150    0.000
  1 15  3    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 219.033   5.165  2.394   90.704   99.888   99.888    0.170  1.359  0.111  0.254  6.710  0.150    0.000
  1  1  4    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 335.273   5.545  2.760   94.365   99.877   99.877    0.205  1.340  0.111  0.259  6.710  0.150    0.000
  1 15  4    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 456.906   5.860  3.370   97.869   99.861   99.861    0.275  1.316  0.111  0.264  6.710  0.150    0.000
  1  1  5    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 296.376   5.947  3.795   99.065   99.845   99.845    0.334  1.294  0.111  0.270  6.710  0.150    0.000
  1 15  5    1    5.100    0.000   0.000   0.000   0.000 0.000 173.169 230.466   5.986  4.264   99.693   99.826   99.826    0.413  1.271  0.111  0.276  6.710  0.150    0.000
  1  1  6    1   31.000    0.000   0.000   0.000   0.000 0.000 173.169 312.732   5.998  4.823   99.950   99.796   99.796    0.543  1.239  0.111  0.284  6.710  0.150    0.000
  1 15  6    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 251.470   6.000  5.183   99.991   99.766   99.766    0.664  1.211  0.111  0.292  6.710  0.150    0.000
  1  1  7    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 155.007   6.000  5.627  100.000   99.714   99.714    0.926  1.172  0.111  0.303  6.710  0.150    0.000
  1 15  7    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169  90.084   6.000  5.816  100.000   99.689   99.689    1.161  1.154  0.111  0.308  6.710  0.150    0.000
  1  1  8    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169  78.422   6.000  5.890  100.000   99.637   99.637    1.333  1.124  0.111  0.317  6.710  0.150    0.000
  1 15  8    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169  64.907   6.000  5.903  100.000   99.596   99.596    1.376  1.103  0.111  0.323  6.710  0.150    0.000
