 Dist. Downslope Elevation Soil Loss

   (meters)   (meters)  (kg/m**2)

      1.917     46.858      0.000
      3.833     46.589      0.000
      5.750     46.307      0.000
      7.667     46.011      0.000
      9.584     45.703      0.000
     11.500     45.381      0.000
     13.417     45.046      0.000
     15.334     44.698      0.000
     17.250     44.337      0.000
     19.167     43.963      0.000
     21.084     43.575      0.000
     23.001     43.176      0.000
     24.917     42.770      0.000
     26.834     42.355      0.000
     28.751     41.933      0.000
     30.667     41.502      0.000
     32.584     41.064      0.000
     34.501     40.618      0.000
     36.418     40.164      0.000
     38.334     39.702      0.000
     40.251     39.233      0.000
     42.168     38.755      0.000
     44.084     38.270      0.000
     46.001     37.778      0.000
     47.918     37.280      0.000
     49.835     36.774      0.000
     51.751     36.262      0.000
     53.668     35.744      0.000
     55.585     35.218      0.000
     57.501     34.686      0.000
     59.418     34.147      0.000
     61.335     33.602      0.000
     63.252     33.050      0.000
     65.168     32.493      0.000
     67.085     31.935      0.000
     69.002     31.379      0.000
     70.918     30.822      0.000
     72.835     30.266      0.000
     74.752     29.711      0.000
     76.669     29.156      0.000
     78.585     28.602      0.000
     80.502     28.048      0.000
     82.419     27.494      0.000
     84.335     26.941      0.000
     86.252     26.390      0.000
     88.169     25.843      0.000
     90.086     25.302      0.000
     92.002     24.768      0.000
     93.919     24.238      0.000
     95.836     23.715      0.000
     97.752     23.198      0.000
     99.669     22.686      0.000
    101.586     22.180      0.000
    103.503     21.680      0.000
    105.419     21.186      0.000
    107.336     20.697      0.000
    109.253     20.214      0.000
    111.169     19.737      0.000
    113.086     19.266      0.000
    115.003     18.800      0.000
    116.920     18.340      0.000
    118.836     17.886      0.000
    120.753     17.438      0.000
    122.670     16.995      0.000
    124.586     16.559      0.000
    126.503     16.127      0.000
    128.420     15.702      0.000
    130.337     15.275      0.000
    132.253     14.844      0.000
    134.170     14.411      0.000
    136.087     13.974      0.000
    138.003     13.535      0.000
    139.920     13.092      0.000
    141.837     12.645      0.000
    143.754     12.196      0.000
    145.670     11.744      0.000
    147.587     11.288      0.000
    149.504     10.829      0.000
    151.420     10.366      0.000
    153.337      9.900      0.000
    155.254      9.430      0.000
    157.170      8.956      0.000
    159.087      8.479      0.000
    161.004      7.997      0.000
    162.921      7.512      0.000
    164.837      7.023      0.000
    166.754      6.531      0.000
    168.671      6.034      0.000
    170.587      5.534      0.000
    172.504      5.032      0.000
    174.421      4.530      0.000
    176.338      4.028      0.000
    178.254      3.525      0.000
    180.171      3.022      0.000
    182.088      2.519      0.000
    184.004      2.016      0.000
    185.921      1.512      0.000
    187.838      1.008      0.000
    189.755      0.504      0.000
    191.671      0.000      0.000
