 Dist. Downslope Elevation Soil Loss

   (meters)   (meters)  (kg/m**2)

      1.963     60.370      0.000
      3.925     60.027      0.000
      5.888     59.668      0.000
      7.851     59.293      0.000
      9.814     58.902      0.000
     11.776     58.496      0.000
     13.739     58.074      0.000
     15.702     57.635      0.000
     17.664     57.181      0.000
     19.627     56.711      0.000
     21.590     56.226      0.000
     23.553     55.724      0.000
     25.515     55.207      0.000
     27.478     54.675      0.000
     29.441     54.127      0.000
     31.403     53.564      0.000
     33.366     52.985      0.000
     35.329     52.391      0.000
     37.292     51.782      0.000
     39.254     51.157      0.000
     41.217     50.517      0.000
     43.180     49.861      0.000
     45.142     49.193      0.000
     47.105     48.521      0.000
     49.068     47.845      0.000
     51.031     47.165      0.000
     52.993     46.480      0.000
     54.956     45.792      0.000
     56.919     45.099      0.000
     58.881     44.403      0.000
     60.844     43.702      0.000
     62.807     42.997      0.000
     64.769     42.288      0.000
     66.732     41.577      0.000
     68.695     40.871      0.000
     70.658     40.171      0.000
     72.620     39.475      0.000
     74.583     38.786      0.000
     76.546     38.101      0.000
     78.508     37.422      0.000
     80.471     36.748      0.000
     82.434     36.080      0.000
     84.397     35.417      0.000
     86.359     34.760      0.000
     88.322     34.106      0.000
     90.285     33.449      0.000
     92.247     32.789      0.000
     94.210     32.125      0.000
     96.173     31.457      0.000
     98.136     30.785      0.000
    100.098     30.109      0.000
    102.061     29.430      0.000
    104.024     28.746      0.000
    105.986     28.059      0.000
    107.949     27.368      0.000
    109.912     26.673      0.000
    111.875     25.975      0.000
    113.837     25.275      0.000
    115.800     24.571      0.000
    117.763     23.864      0.000
    119.725     23.154      0.000
    121.688     22.442      0.000
    123.651     21.726      0.000
    125.614     21.008      0.000
    127.576     20.286      0.000
    129.539     19.562      0.000
    131.502     18.835      0.000
    133.464     18.115      0.000
    135.427     17.405      0.000
    137.390     16.704      0.000
    139.353     16.013      0.000
    141.315     15.331      0.000
    143.278     14.659      0.000
    145.241     13.996      0.000
    147.203     13.343      0.000
    149.166     12.700      0.000
    151.129     12.066      0.000
    153.092     11.442      0.000
    155.054     10.829      0.000
    157.017     10.227      0.000
    158.980      9.637      0.000
    160.942      9.059      0.000
    162.905      8.493      0.000
    164.868      7.938      0.000
    166.831      7.395      0.000
    168.793      6.863      0.000
    170.756      6.344      0.000
    172.719      5.836      0.000
    174.681      5.339      0.000
    176.644      4.848      0.000
    178.607      4.358      0.000
    180.569      3.870      0.000
    182.532      3.382      0.000
    184.495      2.895      0.000
    186.458      2.410      0.000
    188.420      1.926      0.000
    190.383      1.443      0.000
    192.346      0.961      0.000
    194.308      0.480      0.000
    196.271      0.000      0.000
