 Dist. Downslope Elevation Soil Loss

   (meters)   (meters)  (kg/m**2)

      0.613     20.401      0.000
      1.226     20.228      0.000
      1.839     20.054      0.000
      2.453     19.879      0.000
      3.066     19.703      0.000
      3.679     19.526      0.000
      4.292     19.349      0.000
      4.905     19.170      0.000
      5.518     18.991      0.000
      6.131     18.810      0.000
      6.745     18.629      0.000
      7.358     18.447      0.000
      7.971     18.264      0.000
      8.584     18.080      0.000
      9.197     17.895      0.000
      9.810     17.709      0.000
     10.424     17.522      0.000
     11.037     17.334      0.000
     11.650     17.145      0.000
     12.263     16.956      0.000
     12.876     16.765      0.000
     13.489     16.574      0.000
     14.102     16.381      0.000
     14.716     16.188      0.000
     15.329     15.994      0.000
     15.942     15.799      0.000
     16.555     15.603      0.000
     17.168     15.406      0.000
     17.781     15.208      0.000
     18.394     15.009      0.000
     19.008     14.809      0.000
     19.621     14.609      0.000
     20.234     14.407      0.000
     20.847     14.204      0.000
     21.460     14.001      0.000
     22.073     13.797      0.000
     22.687     13.591      0.000
     23.300     13.385      0.000
     23.913     13.178      0.000
     24.526     12.970      0.000
     25.139     12.761      0.000
     25.752     12.551      0.000
     26.365     12.340      0.000
     26.979     12.128      0.000
     27.592     11.916      0.000
     28.205     11.702      0.000
     28.818     11.488      0.000
     29.431     11.272      0.000
     30.044     11.056      0.000
     30.657     10.838      0.000
     31.271     10.621      0.000
     31.884     10.403      0.000
     32.497     10.185      0.000
     33.110      9.968      0.000
     33.723      9.750      0.000
     34.336      9.533      0.000
     34.950      9.315      0.000
     35.563      9.098      0.000
     36.176      8.880      0.000
     36.789      8.663      0.000
     37.402      8.446      0.000
     38.015      8.228      0.000
     38.628      8.011      0.000
     39.242      7.794      0.000
     39.855      7.577      0.000
     40.468      7.360      0.000
     41.081      7.142      0.000
     41.694      6.925      0.000
     42.307      6.708      0.000
     42.920      6.491      0.000
     43.534      6.274      0.000
     44.147      6.058      0.000
     44.760      5.841      0.000
     45.373      5.624      0.000
     45.986      5.407      0.000
     46.599      5.190      0.000
     47.213      4.974      0.000
     47.826      4.757      0.000
     48.439      4.540      0.000
     49.052      4.324      0.000
     49.665      4.107      0.000
     50.278      3.891      0.000
     50.891      3.674      0.000
     51.505      3.458      0.000
     52.118      3.241      0.000
     52.731      3.025      0.000
     53.344      2.809      0.000
     53.957      2.592      0.000
     54.570      2.376      0.000
     55.183      2.160      0.000
     55.797      1.944      0.000
     56.410      1.728      0.000
     57.023      1.512      0.000
     57.636      1.295      0.000
     58.249      1.079      0.000
     58.862      0.863      0.000
     59.476      0.648      0.000
     60.089      0.432      0.000
     60.702      0.216      0.000
     61.315      0.000      0.000
