 Dist. Downslope Elevation Soil Loss

   (meters)   (meters)  (kg/m**2)

      1.897     55.296      0.000
      3.794     54.497      0.000
      5.691     53.721      0.000
      7.588     52.966      0.000
      9.485     52.234      0.000
     11.382     51.523      0.000
     13.279     50.834      0.000
     15.175     50.168      0.000
     17.072     49.523      0.000
     18.969     48.901      0.000
     20.866     48.301      0.000
     22.763     47.722      0.000
     24.660     47.166      0.000
     26.557     46.632      0.000
     28.454     46.120      0.000
     30.351     45.623      0.000
     32.248     45.110      0.000
     34.145     44.579      0.000
     36.042     44.031      0.000
     37.939     43.464      0.000
     39.836     42.880      0.000
     41.733     42.277      0.000
     43.629     41.657      0.000
     45.526     41.025      0.000
     47.423     40.391      0.000
     49.320     39.755      0.000
     51.217     39.116      0.000
     53.114     38.475      0.000
     55.011     37.832      0.000
     56.908     37.186      0.000
     58.805     36.538      0.000
     60.702     35.892      0.000
     62.599     35.249      0.000
     64.496     34.609      0.000
     66.393     33.973      0.000
     68.290     33.340      0.000
     70.187     32.711      0.000
     72.083     32.085      0.000
     73.980     31.463      0.000
     75.877     30.845      0.000
     77.774     30.233      0.000
     79.671     29.625      0.000
     81.568     29.023      0.000
     83.465     28.425      0.000
     85.362     27.833      0.000
     87.259     27.245      0.000
     89.156     26.659      0.000
     91.053     26.069      0.000
     92.950     25.474      0.000
     94.847     24.875      0.000
     96.744     24.272      0.000
     98.641     23.665      0.000
    100.537     23.053      0.000
    102.434     22.437      0.000
    104.331     21.820      0.000
    106.228     21.206      0.000
    108.125     20.594      0.000
    110.022     19.984      0.000
    111.919     19.376      0.000
    113.816     18.770      0.000
    115.713     18.166      0.000
    117.610     17.566      0.000
    119.507     16.979      0.000
    121.404     16.407      0.000
    123.301     15.851      0.000
    125.198     15.311      0.000
    127.094     14.786      0.000
    128.991     14.277      0.000
    130.888     13.783      0.000
    132.785     13.302      0.000
    134.682     12.829      0.000
    136.579     12.362      0.000
    138.476     11.902      0.000
    140.373     11.449      0.000
    142.270     11.003      0.000
    144.167     10.564      0.000
    146.064     10.132      0.000
    147.961      9.702      0.000
    149.858      9.269      0.000
    151.755      8.835      0.000
    153.652      8.399      0.000
    155.548      7.960      0.000
    157.445      7.520      0.000
    159.342      7.078      0.000
    161.239      6.634      0.000
    163.136      6.190      0.000
    165.033      5.746      0.000
    166.930      5.302      0.000
    168.827      4.859      0.000
    170.724      4.416      0.000
    172.621      3.974      0.000
    174.518      3.532      0.000
    176.415      3.090      0.000
    178.312      2.648      0.000
    180.209      2.207      0.000
    182.106      1.765      0.000
    184.002      1.324      0.000
    185.899      0.882      0.000
    187.796      0.441      0.000
    189.693      0.000      0.000
