 OFE DD MM YYYY  Precip   Runoff   EffInt PeakRO  EffDur Enrich    Keff   Sm  LeafArea  CanHgt  Cancov IntCov  RilCov  LivBio DeadBio  Ki    Kr     Tcrit RilWid   SedLeave
 na  na na  na     mm       mm     mm/h    mm/h      h    Ratio    mm/h   mm    Index    m       %       %       %     Kg/m^2  Kg/m^2  na    na      na     m       kg/m
  1  1  1    1    0.000    0.000   0.000   0.000   0.000 0.000 193.546 383.793   5.089  2.337   90.000   99.900   99.900    0.164  1.381  0.165  0.750  7.000  0.150    0.000
  1 15  1    1    0.000    0.000   0.000   0.000   0.000 0.000 193.546 222.967   5.091  2.338   90.017   99.897   99.897    0.165  1.376  0.165  0.750  7.000  0.150    0.000
  1  1  2    1    0.000    0.000   0.000   0.000   0.000 0.000 193.546 197.072   5.091  2.338   90.017   99.897   99.897    0.165  1.375  0.165  0.750  7.000  0.150    0.000
  1 15  2    1    0.000    0.000   0.000   0.000   0.000 0.000 193.546 187.885   5.091  2.338   90.017   99.896   99.896    0.165  1.374  0.165  0.750  7.000  0.150    0.000
  1  1  3    1    0.000    0.000   0.000   0.000   0.000 0.000 193.546 170.202   5.125  2.363   90.334   99.893   99.893    0.167  1.367  0.165  0.750  7.000  0.150    0.000
  1 15  3    1    0.000    0.000   0.000   0.000   0.000 0.000 193.546 184.563   5.159  2.389   90.647   99.889   99.889    0.169  1.361  0.165  0.750  7.000  0.150    0.000
  1  1  4    1    0.000    0.000   0.000   0.000   0.000 0.000 193.546 212.857   5.518  2.728   94.097   99.879   99.879    0.202  1.343  0.165  0.750  7.000  0.150    0.000
  1 15  4    1    0.000    0.000   0.000   0.000   0.000 0.000 193.546 402.985   5.838  3.300   97.591   99.864   99.864    0.266  1.320  0.165  0.750  7.000  0.150    0.000
  1  1  5    1    0.000    0.000   0.000   0.000   0.000 0.000 193.546 374.904   5.933  3.695   98.848   99.850   99.850    0.319  1.300  0.165  0.750  7.000  0.150    0.000
  1 15  5    1    5.600    0.000   0.000   0.000   0.000 0.000 193.546 214.056   5.979  4.140   99.577   99.832   99.832    0.390  1.278  0.165  0.750  7.000  0.150    0.000
  1  1  6    1   31.500    0.000   0.000   0.000   0.000 0.000 193.546 296.039   5.997  4.698   99.920   99.805   99.805    0.509  1.248  0.165  0.750  7.000  0.150    0.000
  1 15  6    1    0.000    0.000   0.000   0.000   0.000 0.000 193.546 233.647   5.999  5.072   99.984   99.778   99.778    0.622  1.222  0.165  0.750  7.000  0.150    0.000
  1  1  7    1    0.000    0.000   0.000   0.000   0.000 0.000 193.546 120.793   6.000  5.572  100.000   99.735   99.735    0.880  1.187  0.165  0.750  7.000  0.150    0.000
  1 15  7    1    0.000    0.000   0.000   0.000   0.000 0.000 193.546  55.779   6.000  5.760  100.000   99.712   99.712    1.073  1.170  0.165  0.750  7.000  0.150    0.000
  1  1  8    1    0.000    0.000   0.000   0.000   0.000 0.000 193.546  67.039   6.000  5.794  100.000   99.664   99.664    1.123  1.139  0.165  0.750  7.000  0.150    0.000
  1 15  8    1    0.000    0.000   0.000   0.000   0.000 0.000 193.546  55.775   6.000  5.812  100.000   99.630   99.630    1.154  1.120  0.165  0.750  7.000  0.150    0.000
  1  1  9    1    0.000    0.000   0.000   0.000   0.000 0.000 193.546  71.114   6.000  5.846  100.000   99.560   99.560    1.221  1.085  0.165  0.750  7.000  0.150    0.000
  1 15  9    1    0.000    0.000   0.000   0.000   0.000 0.000 193.546  56.236   6.000  5.857   95.000   99.561   99.561    1.221  0.025  0.165  0.750  7.000  0.150    0.000
  1  1 10    1   10.400    0.000   0.000   0.000   0.000 0.000 193.546  63.052   6.000  5.857   86.111   99.616   99.616    1.177  0.068  0.165  0.750  7.000  0.150    0.000
  1 15 10    1    0.000    0.000   0.000   0.000   0.000 0.000 193.546 138.821   6.000  5.857   78.333   99.666   99.666    1.138  0.106  0.165  0.750  7.000  0.150    0.000
  1  1 11    1    0.000    0.000   0.000   0.000   0.000 0.000 193.546 234.351   6.000  5.857   68.889   99.716   99.716    1.091  0.152  0.165  0.750  7.000  0.150    0.000
  1 15 11    1    0.000    0.000   0.000   0.000   0.000 0.000 193.546 346.032   6.000  5.857   61.111   99.756   99.756    1.052  0.189  0.165  0.750  7.000  0.150    0.000
  1  1 12    1    0.000    0.000   0.000   0.000   0.000 0.000 193.546 214.061   6.000  5.857   52.222   99.800   99.800    1.008  0.233  0.165  0.750  7.000  0.150    0.000
  1 15 12    1    0.000    0.000   0.000   0.000   0.000 0.000 193.546 209.537   6.000  5.857   50.000   99.811   99.811    0.997  0.243  0.165  0.750  7.000  0.150    0.000
  1  1  1    2    0.000    0.000   0.000   0.000   0.000 0.000 193.546 204.310   6.000  5.699  100.000   99.811   99.811    0.997  0.243  0.165  0.750  7.000  0.150    0.000
  1 15  1    2    0.000    0.000   0.000   0.000   0.000 0.000 193.546 203.546   6.000  5.699  100.000   99.808   99.808    0.997  0.243  0.165  0.750  7.000  0.150    0.000
