 Dist. Downslope Elevation Soil Loss

   (meters)   (meters)  (kg/m**2)

      1.463     43.851      0.000
      2.927     43.537      0.000
      4.390     43.216      0.000
      5.853     42.888      0.000
      7.316     42.552      0.000
      8.780     42.210      0.000
     10.243     41.860      0.000
     11.706     41.504      0.000
     13.169     41.140      0.000
     14.633     40.769      0.000
     16.096     40.391      0.000
     17.559     40.006      0.000
     19.023     39.613      0.000
     20.486     39.212      0.000
     21.949     38.804      0.000
     23.412     38.388      0.000
     24.876     37.965      0.000
     26.339     37.533      0.000
     27.802     37.094      0.000
     29.265     36.648      0.000
     30.729     36.193      0.000
     32.192     35.731      0.000
     33.655     35.263      0.000
     35.119     34.795      0.000
     36.582     34.326      0.000
     38.045     33.856      0.000
     39.508     33.385      0.000
     40.972     32.913      0.000
     42.435     32.441      0.000
     43.898     31.968      0.000
     45.361     31.494      0.000
     46.825     31.020      0.000
     48.288     30.545      0.000
     49.751     30.068      0.000
     51.215     29.590      0.000
     52.678     29.109      0.000
     54.141     28.625      0.000
     55.604     28.139      0.000
     57.068     27.651      0.000
     58.531     27.160      0.000
     59.994     26.666      0.000
     61.457     26.171      0.000
     62.921     25.672      0.000
     64.384     25.172      0.000
     65.847     24.669      0.000
     67.311     24.167      0.000
     68.774     23.665      0.000
     70.237     23.164      0.000
     71.700     22.664      0.000
     73.164     22.165      0.000
     74.627     21.666      0.000
     76.090     21.167      0.000
     77.553     20.670      0.000
     79.017     20.173      0.000
     80.480     19.677      0.000
     81.943     19.181      0.000
     83.407     18.688      0.000
     84.870     18.198      0.000
     86.333     17.709      0.000
     87.796     17.223      0.000
     89.260     16.740      0.000
     90.723     16.259      0.000
     92.186     15.781      0.000
     93.650     15.305      0.000
     95.113     14.832      0.000
     96.576     14.361      0.000
     98.039     13.892      0.000
     99.503     13.426      0.000
    100.966     12.964      0.000
    102.429     12.504      0.000
    103.892     12.047      0.000
    105.356     11.594      0.000
    106.819     11.143      0.000
    108.282     10.695      0.000
    109.746     10.250      0.000
    111.209      9.808      0.000
    112.672      9.370      0.000
    114.135      8.934      0.000
    115.599      8.501      0.000
    117.062      8.072      0.000
    118.525      7.646      0.000
    119.988      7.223      0.000
    121.452      6.804      0.000
    122.915      6.388      0.000
    124.378      5.975      0.000
    125.842      5.566      0.000
    127.305      5.160      0.000
    128.768      4.757      0.000
    130.231      4.358      0.000
    131.695      3.960      0.000
    133.158      3.563      0.000
    134.621      3.165      0.000
    136.084      2.769      0.000
    137.548      2.372      0.000
    139.011      1.976      0.000
    140.474      1.580      0.000
    141.938      1.185      0.000
    143.401      0.789      0.000
    144.864      0.395      0.000
    146.327      0.000      0.000
