 Dist. Downslope Elevation Soil Loss

   (meters)   (meters)  (kg/m**2)

      2.717     79.457      0.000
      5.433     78.523      0.000
      8.150     77.605      0.000
     10.866     76.705      0.000
     13.583     75.821      0.000
     16.300     74.955      0.000
     19.016     74.107      0.000
     21.733     73.273      0.000
     24.449     72.436      0.000
     27.166     71.587      0.000
     29.883     70.726      0.000
     32.599     69.855      0.000
     35.316     68.971      0.000
     38.033     68.077      0.000
     40.749     67.171      0.000
     43.466     66.255      0.000
     46.182     65.333      0.000
     48.899     64.404      0.000
     51.616     63.470      0.000
     54.332     62.529      0.000
     57.049     61.583      0.000
     59.765     60.630      0.000
     62.482     59.672      0.000
     65.199     58.705      0.000
     67.915     57.727      0.000
     70.632     56.738      0.000
     73.348     55.738      0.000
     76.065     54.726      0.000
     78.782     53.702      0.000
     81.498     52.668      0.000
     84.215     51.623      0.000
     86.932     50.588      0.000
     89.648     49.573      0.000
     92.365     48.577      0.000
     95.081     47.600      0.000
     97.798     46.643      0.000
    100.515     45.706      0.000
    103.231     44.788      0.000
    105.948     43.887      0.000
    108.664     42.993      0.000
    111.381     42.105      0.000
    114.098     41.223      0.000
    116.814     40.346      0.000
    119.531     39.475      0.000
    122.247     38.609      0.000
    124.964     37.749      0.000
    127.681     36.888      0.000
    130.397     36.012      0.000
    133.114     35.123      0.000
    135.830     34.221      0.000
    138.547     33.304      0.000
    141.264     32.373      0.000
    143.980     31.429      0.000
    146.697     30.471      0.000
    149.414     29.515      0.000
    152.130     28.571      0.000
    154.847     27.637      0.000
    157.563     26.715      0.000
    160.280     25.805      0.000
    162.997     24.905      0.000
    165.713     24.017      0.000
    168.430     23.140      0.000
    171.146     22.274      0.000
    173.863     21.420      0.000
    176.580     20.578      0.000
    179.296     19.748      0.000
    182.013     18.929      0.000
    184.729     18.121      0.000
    187.446     17.325      0.000
    190.163     16.542      0.000
    192.879     15.774      0.000
    195.596     15.021      0.000
    198.313     14.283      0.000
    201.029     13.561      0.000
    203.746     12.853      0.000
    206.462     12.160      0.000
    209.179     11.483      0.000
    211.896     10.823      0.000
    214.612     10.183      0.000
    217.329      9.562      0.000
    220.045      8.961      0.000
    222.762      8.380      0.000
    225.479      7.818      0.000
    228.195      7.276      0.000
    230.912      6.753      0.000
    233.628      6.242      0.000
    236.345      5.742      0.000
    239.062      5.254      0.000
    241.778      4.776      0.000
    244.495      4.309      0.000
    247.211      3.854      0.000
    249.928      3.409      0.000
    252.645      2.973      0.000
    255.361      2.540      0.000
    258.078      2.110      0.000
    260.795      1.683      0.000
    263.511      1.258      0.000
    266.228      0.836      0.000
    268.944      0.417      0.000
    271.661      0.000      0.000
