 Dist. Downslope Elevation Soil Loss

   (meters)   (meters)  (kg/m**2)

      2.649     88.083      0.000
      5.298     87.412      0.000
      7.947     86.721      0.000
     10.596     86.012      0.000
     13.245     85.285      0.000
     15.894     84.538      0.000
     18.543     83.773      0.000
     21.192     82.989      0.000
     23.841     82.186      0.000
     26.490     81.364      0.000
     29.139     80.533      0.000
     31.788     79.702      0.000
     34.437     78.872      0.000
     37.086     78.041      0.000
     39.735     77.212      0.000
     42.384     76.382      0.000
     45.033     75.553      0.000
     47.682     74.724      0.000
     50.331     73.896      0.000
     52.980     73.067      0.000
     55.629     72.235      0.000
     58.278     71.393      0.000
     60.928     70.541      0.000
     63.577     69.681      0.000
     66.226     68.811      0.000
     68.875     67.932      0.000
     71.524     67.043      0.000
     74.173     66.145      0.000
     76.822     65.238      0.000
     79.471     64.322      0.000
     82.120     63.394      0.000
     84.769     62.452      0.000
     87.418     61.497      0.000
     90.067     60.528      0.000
     92.716     59.546      0.000
     95.365     58.550      0.000
     98.014     57.540      0.000
    100.663     56.517      0.000
    103.312     55.481      0.000
    105.961     54.430      0.000
    108.610     53.387      0.000
    111.259     52.372      0.000
    113.908     51.385      0.000
    116.557     50.426      0.000
    119.206     49.496      0.000
    121.855     48.593      0.000
    124.504     47.719      0.000
    127.153     46.872      0.000
    129.802     46.054      0.000
    132.451     45.264      0.000
    135.100     44.486      0.000
    137.749     43.703      0.000
    140.398     42.917      0.000
    143.047     42.127      0.000
    145.696     41.332      0.000
    148.345     40.534      0.000
    150.994     39.731      0.000
    153.643     38.925      0.000
    156.292     38.114      0.000
    158.941     37.299      0.000
    161.590     36.472      0.000
    164.239     35.625      0.000
    166.888     34.757      0.000
    169.537     33.868      0.000
    172.186     32.959      0.000
    174.835     32.029      0.000
    177.485     31.079      0.000
    180.134     30.109      0.000
    182.783     29.117      0.000
    185.432     28.106      0.000
    188.081     27.085      0.000
    190.730     26.068      0.000
    193.379     25.055      0.000
    196.028     24.044      0.000
    198.677     23.037      0.000
    201.326     22.033      0.000
    203.975     21.032      0.000
    206.624     20.035      0.000
    209.273     19.041      0.000
    211.922     18.050      0.000
    214.571     17.067      0.000
    217.220     16.094      0.000
    219.869     15.131      0.000
    222.518     14.180      0.000
    225.167     13.239      0.000
    227.816     12.308      0.000
    230.465     11.389      0.000
    233.114     10.480      0.000
    235.763      9.581      0.000
    238.412      8.694      0.000
    241.061      7.813      0.000
    243.710      6.934      0.000
    246.359      6.059      0.000
    249.008      5.185      0.000
    251.657      4.315      0.000
    254.306      3.447      0.000
    256.955      2.581      0.000
    259.604      1.718      0.000
    262.253      0.858      0.000
    264.902      0.000      0.000
