 OFE DD MM YYYY  Precip   Runoff   EffInt PeakRO  EffDur Enrich    Keff   Sm  LeafArea  CanHgt  Cancov IntCov  RilCov  LivBio DeadBio  Ki    Kr     Tcrit RilWid   SedLeave
 na  na na  na     mm       mm     mm/h    mm/h      h    Ratio    mm/h   mm    Index    m       %       %       %     Kg/m^2  Kg/m^2  na    na      na     m       kg/m
  1  1  1    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 371.957   5.089  2.337   90.000   99.900   99.900    0.164  1.381  0.111  0.249  6.710  0.150    0.000
  1 15  1    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 241.503   5.091  2.338   90.017   99.898   99.898    0.165  1.377  0.111  0.250  6.710  0.150    0.000
  1  1  2    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 214.204   5.091  2.338   90.017   99.897   99.897    0.165  1.376  0.111  0.250  6.710  0.150    0.000
  1 15  2    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 208.435   5.091  2.338   90.017   99.896   99.896    0.165  1.374  0.111  0.105  6.710  0.150    0.000
  1  1  3    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 194.755   5.119  2.358   90.273   99.893   99.893    0.166  1.368  0.111  0.252  6.710  0.150    0.000
  1 15  3    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 208.734   5.154  2.385   90.601   99.890   99.890    0.169  1.362  0.111  0.253  6.710  0.150    0.000
  1  1  4    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 221.760   5.497  2.702   93.878   99.880   99.880    0.200  1.345  0.111  0.257  6.710  0.150    0.000
  1 15  4    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 408.569   5.814  3.232   97.297   99.866   99.866    0.258  1.323  0.111  0.263  6.710  0.150    0.000
  1  1  5    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 437.763   5.919  3.612   98.643   99.853   99.853    0.307  1.304  0.111  0.267  6.710  0.150    0.000
  1 15  5    1    6.100    0.000   0.000   0.000   0.000 0.000 173.169 261.274   5.973  4.043   99.464   99.837   99.837    0.373  1.283  0.111  0.273  6.710  0.150    0.000
  1  1  6    1   32.000    0.000   0.000   0.000   0.000 0.000 173.169 321.330   5.995  4.598   99.887   99.811   99.811    0.485  1.255  0.111  0.280  6.710  0.150    0.000
  1 15  6    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 258.956   5.999  4.969   99.973   99.787   99.787    0.587  1.230  0.111  0.287  6.710  0.150    0.000
  1  1  7    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 159.927   6.000  5.519   99.999   99.740   99.740    0.841  1.190  0.111  0.298  6.710  0.150    0.000
  1 15  7    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169  97.033   6.000  5.759  100.000   99.716   99.716    1.072  1.173  0.111  0.303  6.710  0.150    0.000
  1  1  8    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169  81.153   6.000  5.869  100.000   99.666   99.666    1.275  1.140  0.111  0.312  6.710  0.150    0.000
  1 15  8    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169  65.105   6.000  5.888  100.000   99.625   99.625    1.327  1.117  0.111  0.319  6.710  0.150    0.000
  1  1  9    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169  86.225   6.000  5.910  100.000   99.554   99.554    1.400  1.082  0.111  0.329  6.710  0.150    0.000
  1 15  9    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169  67.395   6.000  5.917   95.000   99.551   99.551    1.399  0.028  0.111  0.338  6.710  0.150    0.000
  1  1 10    1   11.400    0.000   0.000   0.000   0.000 0.000 173.169  73.232   6.000  5.917   86.111   99.618   99.618    1.348  0.078  0.111  0.343  6.710  0.150    0.000
  1 15 10    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 156.658   6.000  5.917   78.333   99.678   99.678    1.303  0.122  0.111  0.105  6.710  0.150    0.000
  1  1 11    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 262.153   6.000  5.917   68.889   99.736   99.736    1.250  0.174  0.111  0.350  6.710  0.150    0.000
  1 15 11    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 340.203   6.000  5.917   61.111   99.780   99.780    1.205  0.217  0.111  0.353  6.710  0.150    0.000
  1  1 12    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 224.502   6.000  5.917   52.222   99.826   99.826    1.154  0.267  0.111  0.354  6.710  0.150    0.000
  1 15 12    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 221.653   6.000  5.917   50.000   99.837   99.837    1.142  0.279  0.111  0.355  6.710  0.150    0.000
  1  1  1    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 216.560   6.000  5.805  100.000   99.837   99.837    1.142  0.279  0.111  0.355  6.710  0.150    0.000
  1 15  1    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 206.515   6.000  5.805  100.000   99.835   99.835    1.142  0.279  0.111  0.355  6.710  0.150    0.000
  1  1  2    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 198.672   6.000  5.805  100.000   99.834   99.834    1.142  0.278  0.111  0.356  6.710  0.150    0.000
  1 15  2    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 181.457   6.000  5.809  100.000   99.824   99.824    1.148  0.276  0.111  0.358  6.710  0.150    0.000
  1  1  3    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 166.238   6.000  5.810  100.000   99.819   99.819    1.150  0.274  0.111  0.360  6.710  0.150    0.000
  1 15  3    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 182.563   6.000  5.810  100.000   99.817   99.817    1.150  0.274  0.111  0.361  6.710  0.150    0.000
  1  1  4    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 156.829   6.000  5.819  100.000   99.807   99.807    1.166  0.272  0.111  0.363  6.710  0.150    0.000
  1 15  4    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 152.337   6.000  5.823  100.000   99.800   99.800    1.175  0.270  0.111  0.365  6.710  0.150    0.000
  1  1  5    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 310.587   6.000  5.848  100.000   99.781   99.781    1.225  0.266  0.111  0.370  6.710  0.150    0.000
  1 15  5    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 347.677   6.000  5.870  100.000   99.763   99.763    1.277  0.263  0.111  0.375  6.710  0.150    0.000
  1 20  5    2   14.000    8.133   0.000   0.339  24.000 1.000  95.673 468.719   6.000  5.885  100.000   99.751   99.751    1.318  0.261  0.111  0.377  6.710  0.150    0.000
  1 21  5    2    0.000    2.026   0.000   0.131  15.502 1.000  95.673 479.584   6.000  5.887  100.000   99.749   99.749    1.325  0.260  0.111  0.378  6.710  0.150    0.000
  1 22  5    2    0.000    0.066   0.000   0.131   0.504 1.000  95.673 486.247   6.000  5.890  100.000   99.747   99.747    1.334  0.260  0.111  0.378  6.710  0.150    0.000
  1 24  5    2    7.900    4.279   0.000   0.178  24.000 1.000  95.673 502.892   6.000  5.896  100.000   99.742   99.742    1.353  0.259  0.111  0.379  6.710  0.150    0.000
  1  1  6    2    0.000    0.382   0.000   0.131   2.921 1.000 173.169 525.874   6.000  5.910  100.000   99.726   99.726    1.399  0.257  0.111  0.383  6.710  0.150    0.000
  1  2  6    2    0.000    5.989   0.000   0.250  24.000 1.000  95.673 527.614   6.000  5.913  100.000   99.722   99.722    1.411  0.256  0.111  0.383  6.710  0.150    0.000
  1  6  6    2   15.000    7.610   0.000   0.317  24.000 1.000 173.169 529.589   6.000  5.920  100.000   99.713   99.713    1.439  0.255  0.111  0.385  6.710  0.150    0.000
  1  7  6    2   13.000    0.598   0.000   0.131   4.574 1.000  95.673 528.470   6.000  5.921  100.000   99.711   99.711    1.445  0.254  0.111  0.386  6.710  0.150    0.000
  1 15  6    2   17.000    0.000   0.000   0.000   0.000 0.000 173.169 385.446   6.000  5.934  100.000   99.690   99.690    1.506  0.251  0.111  0.390  6.710  0.150    0.000
  1  1  7    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 219.143   6.000  5.962  100.000   99.632   99.632    1.685  0.244  0.111  0.400  6.710  0.150    0.000
  1 15  7    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 151.314   6.000  5.981  100.000   99.573   99.573    1.921  0.237  0.111  0.408  6.710  0.150    0.000
  1  1  8    2    4.100    0.000   0.000   0.000   0.000 0.000 173.169  98.091   6.000  5.992  100.000   99.515   99.515    2.209  0.232  0.111  0.416  6.710  0.150    0.000
  1 15  8    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169  64.789   6.000  5.995  100.000   99.471   99.471    2.338  0.228  0.111  0.422  6.710  0.150    0.000
  1  1  9    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169  64.312   6.000  5.995  100.000   99.424   99.424    2.340  0.224  0.111  0.427  6.710  0.150    0.000
  1 15  9    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169  65.066   6.000  5.995   95.000   99.498   99.498    2.293  0.047  0.111  0.431  6.710  0.150    0.000
  1  1 10    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169  64.405   6.000  5.995   86.111   99.639   99.639    2.210  0.128  0.111  0.436  6.710  0.150    0.000
  1 15 10    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169  64.318   6.000  5.995   78.333   99.729   99.729    2.137  0.199  0.111  0.441  6.710  0.150    0.000
  1  1 11    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169  84.211   6.000  5.995   68.889   99.820   99.820    2.049  0.286  0.111  0.443  6.710  0.150    0.000
  1 15 11    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 150.213   6.000  5.995   61.111   99.870   99.870    1.976  0.357  0.111  0.105  6.710  0.150    0.000
  1  1 12    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 182.481   6.000  5.995   52.222   99.900   99.900    1.893  0.440  0.111  0.445  6.710  0.150    0.000
  1 15 12    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 187.519   6.000  5.995   50.000   99.900   99.900    1.872  0.460  0.111  0.446  6.710  0.150    0.000
  1  1  1    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 179.156   6.000  5.978  100.000   99.900   99.900    1.872  0.458  0.111  0.447  6.710  0.150    0.000
  1 15  1    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 170.045   6.000  5.978  100.000   99.900   99.900    1.872  0.458  0.111  0.447  6.710  0.150    0.000
  1  1  2    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 164.751   6.000  5.978  100.000   99.900   99.900    1.875  0.455  0.111  0.449  6.710  0.150    0.000
  1 15  2    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 154.678   6.000  5.979  100.000   99.900   99.900    1.877  0.452  0.111  0.451  6.710  0.150    0.000
  1  1  3    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 134.691   6.000  5.979  100.000   99.900   99.900    1.889  0.449  0.111  0.453  6.710  0.150    0.000
  1 15  3    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 218.823   6.000  5.981  100.000   99.900   99.900    1.917  0.443  0.111  0.457  6.710  0.150    0.000
  1  1  4    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 366.965   6.000  5.983  100.000   99.889   99.889    1.953  0.437  0.111  0.462  6.710  0.150    0.000
  1 15  4    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 254.498   6.000  5.984  100.000   99.881   99.881    1.981  0.432  0.111  0.465  6.710  0.150    0.000
  1 29  4    3    8.900    2.208   0.000   0.131  16.897 1.000 173.169 456.599   6.000  5.987  100.000   99.866   99.866    2.053  0.425  0.111  0.471  6.710  0.150    0.000
  1 30  4    3   17.500    1.235   0.000   0.131   9.450 1.000  95.673 467.880   6.000  5.987  100.000   99.866   99.866    2.054  0.424  0.111  0.471  6.710  0.150    0.000
  1  1  5    3    0.000    0.000   0.000   0.000   0.000 0.000  95.673 452.201   6.000  5.987  100.000   99.865   99.865    2.054  0.424  0.111  0.471  6.710  0.150    0.000
  1 15  5    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 212.936   6.000  5.991  100.000   99.841   99.841    2.169  0.413  0.111  0.479  6.710  0.150    0.000
  1  1  6    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 165.001   6.000  5.995  100.000   99.803   99.803    2.361  0.400  0.111  0.489  6.710  0.150    0.000
  1 15  6    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 167.926   6.000  5.997  100.000   99.777   99.777    2.522  0.392  0.111  0.495  6.710  0.150    0.000
  1  1  7    3   13.000    0.000   0.000   0.000   0.000 0.000 173.169 116.792   6.000  5.999   99.900   99.725   99.725    2.779  0.378  0.111  0.506  6.710  0.150    0.000
  1 15  7    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169  81.464   6.000  5.999   99.900   99.669   99.669    2.965  0.366  0.111  0.515  6.710  0.150    0.000
  1  1  8    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169  71.137   6.000  5.999   99.900   99.604   99.604    3.080  0.355  0.111  0.525  6.710  0.150    0.000
  1 15  8    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169  64.731   6.000  5.999   99.900   99.567   99.567    3.110  0.349  0.111  0.529  6.710  0.150    0.000
  1  1  9    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169  95.639   6.000  6.000   99.900   99.498   99.498    3.182  0.340  0.111  0.537  6.710  0.150    0.000
  1 15  9    3   10.900    0.000   0.000   0.000   0.000 0.000 173.169  95.054   6.000  6.000   94.350   99.594   99.594    3.137  0.071  0.111  0.543  6.710  0.150    0.000
  1  1 10    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 115.467   6.000  6.000   85.470   99.726   99.726    3.023  0.181  0.111  0.552  6.710  0.150    0.000
  1 15 10    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 112.316   6.000  6.000   77.700   99.816   99.816    2.923  0.277  0.111  0.556  6.710  0.150    0.000
  1  1 11    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 139.901   6.000  6.000   68.265   99.886   99.886    2.802  0.392  0.111  0.561  6.710  0.150    0.000
  1 15 11    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 169.168   6.000  6.000   60.495   99.900   99.900    2.702  0.491  0.111  0.562  6.710  0.150    0.000
