 Dist. Downslope Elevation Soil Loss

   (meters)   (meters)  (kg/m**2)

      2.114     59.080      0.000
      4.228     58.494      0.000
      6.342     57.884      0.000
      8.457     57.249      0.000
     10.571     56.589      0.000
     12.685     55.904      0.000
     14.799     55.194      0.000
     16.913     54.460      0.000
     19.027     53.700      0.000
     21.142     52.916      0.000
     23.256     52.122      0.000
     25.370     51.333      0.000
     27.484     50.551      0.000
     29.598     49.774      0.000
     31.712     49.002      0.000
     33.827     48.236      0.000
     35.941     47.476      0.000
     38.055     46.721      0.000
     40.169     45.972      0.000
     42.283     45.228      0.000
     44.397     44.492      0.000
     46.512     43.762      0.000
     48.626     43.040      0.000
     50.740     42.326      0.000
     52.854     41.619      0.000
     54.968     40.920      0.000
     57.082     40.228      0.000
     59.197     39.544      0.000
     61.311     38.868      0.000
     63.425     38.199      0.000
     65.539     37.533      0.000
     67.653     36.865      0.000
     69.767     36.196      0.000
     71.882     35.526      0.000
     73.996     34.853      0.000
     76.110     34.180      0.000
     78.224     33.504      0.000
     80.338     32.828      0.000
     82.452     32.149      0.000
     84.567     31.469      0.000
     86.681     30.791      0.000
     88.795     30.119      0.000
     90.909     29.451      0.000
     93.023     28.789      0.000
     95.137     28.132      0.000
     97.252     27.480      0.000
     99.366     26.833      0.000
    101.480     26.192      0.000
    103.594     25.555      0.000
    105.708     24.924      0.000
    107.822     24.300      0.000
    109.937     23.682      0.000
    112.051     23.071      0.000
    114.165     22.468      0.000
    116.279     21.871      0.000
    118.393     21.281      0.000
    120.507     20.699      0.000
    122.622     20.124      0.000
    124.736     19.555      0.000
    126.850     18.994      0.000
    128.964     18.439      0.000
    131.078     17.890      0.000
    133.192     17.346      0.000
    135.307     16.808      0.000
    137.421     16.276      0.000
    139.535     15.749      0.000
    141.649     15.228      0.000
    143.763     14.713      0.000
    145.877     14.203      0.000
    147.992     13.699      0.000
    150.106     13.200      0.000
    152.220     12.703      0.000
    154.334     12.210      0.000
    156.448     11.720      0.000
    158.562     11.232      0.000
    160.677     10.748      0.000
    162.791     10.267      0.000
    164.905      9.789      0.000
    167.019      9.314      0.000
    169.133      8.842      0.000
    171.247      8.374      0.000
    173.362      7.909      0.000
    175.476      7.448      0.000
    177.590      6.990      0.000
    179.704      6.537      0.000
    181.818      6.086      0.000
    183.932      5.640      0.000
    186.047      5.197      0.000
    188.161      4.757      0.000
    190.275      4.321      0.000
    192.389      3.888      0.000
    194.503      3.454      0.000
    196.617      3.021      0.000
    198.732      2.589      0.000
    200.846      2.156      0.000
    202.960      1.724      0.000
    205.074      1.293      0.000
    207.188      0.861      0.000
    209.302      0.431      0.000
    211.417      0.000      0.000
