 OFE DD MM YYYY  Precip   Runoff   EffInt PeakRO  EffDur Enrich    Keff   Sm  LeafArea  CanHgt  Cancov IntCov  RilCov  LivBio DeadBio  Ki    Kr     Tcrit RilWid   SedLeave
 na  na na  na     mm       mm     mm/h    mm/h      h    Ratio    mm/h   mm    Index    m       %       %       %     Kg/m^2  Kg/m^2  na    na      na     m       kg/m
  1  1  1    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 372.052   5.089  2.337   90.000   99.900   99.900    0.164  1.381  0.111  0.249  6.710  0.150    0.000
  1 15  1    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 235.930   5.092  2.339   90.022   99.897   99.897    0.165  1.376  0.111  0.250  6.710  0.150    0.000
  1  1  2    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 211.089   5.092  2.339   90.022   99.896   99.896    0.165  1.374  0.111  0.250  6.710  0.150    0.000
  1 15  2    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 232.537   5.092  2.339   90.022   99.895   99.895    0.165  1.372  0.111  0.105  6.710  0.150    0.000
  1  1  3    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 212.684   5.121  2.360   90.298   99.892   99.892    0.167  1.366  0.111  0.252  6.710  0.150    0.000
  1 15  3    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 218.257   5.177  2.402   90.808   99.888   99.888    0.170  1.358  0.111  0.254  6.710  0.150    0.000
  1  1  4    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 343.611   5.555  2.773   94.463   99.876   99.876    0.207  1.339  0.111  0.259  6.710  0.150    0.000
  1 15  4    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 470.082   5.870  3.405   97.998   99.860   99.860    0.279  1.314  0.111  0.265  6.710  0.150    0.000
  1  1  5    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 292.216   5.953  3.840   99.150   99.843   99.843    0.341  1.291  0.111  0.271  6.710  0.150    0.000
  1 15  5    1    5.100    0.000   0.000   0.000   0.000 0.000 173.169 231.032   5.988  4.311   99.731   99.823   99.823    0.423  1.267  0.111  0.277  6.710  0.150    0.000
  1  1  6    1   31.000    0.000   0.000   0.000   0.000 0.000 173.169 311.893   5.998  4.871   99.959   99.792   99.792    0.557  1.235  0.111  0.285  6.710  0.150    0.000
  1 15  6    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 251.605   6.000  5.227   99.993   99.760   99.760    0.683  1.207  0.111  0.293  6.710  0.150    0.000
  1  1  7    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 153.893   6.000  5.650  100.000   99.707   99.707    0.947  1.167  0.111  0.304  6.710  0.150    0.000
  1 15  7    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169  88.295   6.000  5.828  100.000   99.681   99.681    1.184  1.150  0.111  0.309  6.710  0.150    0.000
  1  1  8    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169  77.462   6.000  5.894  100.000   99.630   99.630    1.347  1.120  0.111  0.318  6.710  0.150    0.000
  1 15  8    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169  64.834   6.000  5.906  100.000   99.590   99.590    1.387  1.099  0.111  0.324  6.710  0.150    0.000
  1  1  9    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169  84.400   6.000  5.924  100.000   99.507   99.507    1.455  1.062  0.111  0.336  6.710  0.150    0.000
  1 15  9    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169  66.547   6.000  5.929   95.000   99.509   99.509    1.452  0.029  0.111  0.344  6.710  0.150    0.000
  1  1 10    1   10.200    0.000   0.000   0.000   0.000 0.000 173.169  71.896   6.000  5.929   86.111   99.588   99.588    1.399  0.081  0.111  0.349  6.710  0.150    0.000
  1 15 10    1   20.800    0.000   0.000   0.000   0.000 0.000 173.169 144.195   6.000  5.929   78.333   99.651   99.651    1.353  0.126  0.111  0.353  6.710  0.150    0.000
  1  1 11    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 262.187   6.000  5.929   68.889   99.715   99.715    1.297  0.180  0.111  0.358  6.710  0.150    0.000
  1 15 11    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 326.106   6.000  5.929   61.111   99.762   99.762    1.251  0.224  0.111  0.360  6.710  0.150    0.000
  1  1 12    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 235.665   6.000  5.929   52.222   99.812   99.812    1.198  0.276  0.111  0.362  6.710  0.150    0.000
  1 15 12    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 222.601   6.000  5.929   50.000   99.824   99.824    1.185  0.289  0.111  0.363  6.710  0.150    0.000
  1  1  1    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 217.338   6.000  5.829  100.000   99.824   99.824    1.185  0.289  0.111  0.363  6.710  0.150    0.000
  1 15  1    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 216.856   6.000  5.829  100.000   99.822   99.822    1.185  0.288  0.111  0.364  6.710  0.150    0.000
  1  1  2    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 210.005   6.000  5.829  100.000   99.820   99.820    1.185  0.287  0.111  0.364  6.710  0.150    0.000
  1 15  2    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 275.395   6.000  5.832  100.000   99.809   99.809    1.192  0.285  0.111  0.367  6.710  0.150    0.000
  1  1  3    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 261.219   6.000  5.834  100.000   99.801   99.801    1.196  0.283  0.111  0.369  6.710  0.150    0.000
  1 15  3    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 234.166   6.000  5.834  100.000   99.798   99.798    1.196  0.282  0.111  0.370  6.710  0.150    0.000
  1  1  4    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 221.500   6.000  5.842  100.000   99.786   99.786    1.213  0.280  0.111  0.373  6.710  0.150    0.000
  1 15  4    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 330.028   6.000  5.850  100.000   99.775   99.775    1.229  0.277  0.111  0.376  6.710  0.150    0.000
  1  1  5    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 414.662   6.000  5.876  100.000   99.750   99.750    1.294  0.272  0.111  0.382  6.710  0.150    0.000
  1 15  5    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 293.376   6.000  5.901  100.000   99.725   99.725    1.369  0.268  0.111  0.387  6.710  0.150    0.000
  1  1  6    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 241.842   6.000  5.936  100.000   99.676   99.676    1.513  0.261  0.111  0.396  6.710  0.150    0.000
  1 15  6    2   16.000    0.000   0.000   0.000   0.000 0.000 173.169 244.854   6.000  5.957  100.000   99.627   99.627    1.644  0.254  0.111  0.405  6.710  0.150    0.000
  1  1  7    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 216.112   6.000  5.977  100.000   99.549   99.549    1.848  0.246  0.111  0.416  6.710  0.150    0.000
  1 15  7    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 146.458   6.000  5.989  100.000   99.482   99.482    2.089  0.239  0.111  0.424  6.710  0.150    0.000
  1  1  8    2    4.100    0.000   0.000   0.000   0.000 0.000 173.169  86.332   6.000  5.995  100.000   99.420   99.420    2.388  0.234  0.111  0.432  6.710  0.150    0.000
  1 15  8    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169  64.613   6.000  5.996  100.000   99.372   99.372    2.479  0.231  0.111  0.437  6.710  0.150    0.000
  1  1  9    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169  64.300   6.000  5.996  100.000   99.318   99.318    2.480  0.227  0.111  0.442  6.710  0.150    0.000
  1 15  9    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169  65.400   6.000  5.996   95.000   99.414   99.414    2.431  0.049  0.111  0.446  6.710  0.150    0.000
  1  1 10    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169  64.441   6.000  5.996   86.111   99.589   99.589    2.343  0.136  0.111  0.451  6.710  0.150    0.000
  1 15 10    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169  64.325   6.000  5.996   78.333   99.699   99.699    2.265  0.211  0.111  0.456  6.710  0.150    0.000
  1  1 11    2    0.000    0.000   0.000   0.000   0.000 0.000  95.673 108.381   6.000  5.996   68.889   99.804   99.804    2.172  0.303  0.111  0.105  6.710  0.150    0.000
  1 15 11    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 166.787   6.000  5.996   61.111   99.861   99.861    2.095  0.378  0.111  0.105  6.710  0.150    0.000
  1  1 12    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 214.628   6.000  5.996   52.222   99.900   99.900    2.006  0.465  0.111  0.461  6.710  0.150    0.000
  1 15 12    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 253.932   6.000  5.996   50.000   99.900   99.900    1.984  0.486  0.111  0.462  6.710  0.150    0.000
  1  1  1    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 218.906   6.000  5.984  100.000   99.900   99.900    1.984  0.484  0.111  0.463  6.710  0.150    0.000
  1 15  1    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 209.628   6.000  5.984  100.000   99.900   99.900    1.984  0.483  0.111  0.463  6.710  0.150    0.000
  1  1  2    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 221.438   6.000  5.985  100.000   99.900   99.900    1.987  0.481  0.111  0.465  6.710  0.150    0.000
  1 15  2    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 260.789   6.000  5.985  100.000   99.900   99.900    1.990  0.477  0.111  0.467  6.710  0.150    0.000
  1  1  3    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 305.345   6.000  5.985  100.000   99.900   99.900    2.002  0.473  0.111  0.470  6.710  0.150    0.000
  1 15  3    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 403.606   6.000  5.987  100.000   99.891   99.891    2.038  0.466  0.111  0.475  6.710  0.150    0.000
  1  1  4    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 226.014   6.000  5.988  100.000   99.879   99.879    2.082  0.458  0.111  0.480  6.710  0.150    0.000
  1 15  4    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 229.283   6.000  5.990  100.000   99.868   99.868    2.119  0.453  0.111  0.484  6.710  0.150    0.000
  1  1  5    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 223.715   6.000  5.992  100.000   99.848   99.848    2.211  0.443  0.111  0.490  6.710  0.150    0.000
  1 15  5    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 168.643   6.000  5.995  100.000   99.819   99.819    2.342  0.431  0.111  0.498  6.710  0.150    0.000
  1  1  6    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 120.927   6.000  5.997  100.000   99.784   99.784    2.551  0.419  0.111  0.507  6.710  0.150    0.000
  1 15  6    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 113.529   6.000  5.998   99.900   99.759   99.759    2.727  0.412  0.111  0.512  6.710  0.150    0.000
  1  1  7    3   13.000    0.000   0.000   0.000   0.000 0.000 173.169  88.774   6.000  5.999   99.900   99.706   99.706    2.894  0.398  0.111  0.522  6.710  0.150    0.000
  1 15  7    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169  74.071   6.000  5.999   99.900   99.646   99.646    2.994  0.385  0.111  0.531  6.710  0.150    0.000
  1  1  8    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169  68.861   6.000  5.999   99.900   99.584   99.584    3.082  0.374  0.111  0.540  6.710  0.150    0.000
  1 15  8    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169  64.926   6.000  5.999   99.900   99.546   99.546    3.107  0.368  0.111  0.544  6.710  0.150    0.000
  1  1  9    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169  92.778   6.000  6.000   99.900   99.471   99.471    3.183  0.358  0.111  0.552  6.710  0.150    0.000
  1 15  9    3   10.200    0.000   0.000   0.000   0.000 0.000 173.169  92.988   6.000  6.000   94.350   99.567   99.567    3.138  0.071  0.111  0.559  6.710  0.150    0.000
  1  1 10    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 111.657   6.000  6.000   85.470   99.706   99.706    3.024  0.181  0.111  0.567  6.710  0.150    0.000
  1 15 10    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 105.350   6.000  6.000   77.700   99.800   99.800    2.924  0.277  0.111  0.572  6.710  0.150    0.000
  1  1 11    3    8.900    0.000   0.000   0.000   0.000 0.000 173.169 140.078   6.000  6.000   68.265   99.876   99.876    2.803  0.391  0.111  0.578  6.710  0.150    0.000
  1 15 11    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 201.375   6.000  6.000   60.495   99.900   99.900    2.703  0.489  0.111  0.579  6.710  0.150    0.000
  1  1 12    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 214.038   6.000  6.000   51.615   99.900   99.900    2.589  0.602  0.111  0.580  6.710  0.150    0.000
  1 15 12    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 216.554   6.000  6.000   49.950   99.900   99.900    2.567  0.623  0.111  0.580  6.710  0.150    0.000
  1  1  1    4    0.000    0.000   0.000   0.000   0.000 0.000 173.169 210.518   6.000  5.997  100.000   99.900   99.900    2.567  0.623  0.111  0.580  6.710  0.150    0.000
  1 15  1    4    0.000    0.000   0.000   0.000   0.000 0.000 173.169 206.604   6.000  5.997  100.000   99.900   99.900    2.567  0.623  0.111  0.580  6.710  0.150    0.000
  1  1  2    4    0.000    0.000   0.000   0.000   0.000 0.000 173.169 208.912   6.000  5.997  100.000   99.900   99.900    2.567  0.621  0.111  0.581  6.710  0.150    0.000
  1 15  2    4    0.000    0.000   0.000   0.000   0.000 0.000 173.169 197.837   6.000  5.997  100.000   99.900   99.900    2.567  0.619  0.111  0.582  6.710  0.150    0.000
  1  1  3    4    0.000    0.000   0.000   0.000   0.000 0.000 173.169 188.931   6.000  5.997  100.000   99.900   99.900    2.567  0.618  0.111  0.582  6.710  0.150    0.000
  1 15  3    4    0.000    0.000   0.000   0.000   0.000 0.000 173.169 186.293   6.000  5.997  100.000   99.900   99.900    2.572  0.615  0.111  0.583  6.710  0.150    0.000
  1  1  4    4    0.000    0.000   0.000   0.000   0.000 0.000 173.169 248.341   6.000  5.997  100.000   99.900   99.900    2.594  0.608  0.111  0.586  6.710  0.150    0.000
  1 15  4    4    0.000    0.000   0.000   0.000   0.000 0.000 173.169 291.762   6.000  5.998  100.000   99.900   99.900    2.611  0.602  0.111  0.589  6.710  0.150    0.000
  1  1  5    4    0.000    0.000   0.000   0.000   0.000 0.000 173.169 435.469   6.000  5.998  100.000   99.900   99.900    2.667  0.593  0.111  0.592  6.710  0.150    0.000
  1 15  5    4    0.000    0.000   0.000   0.000   0.000 0.000 173.169 291.473   6.000  5.999   99.900   99.900   99.900    2.787  0.577  0.111  0.600  6.710  0.150    0.000
  1  1  6    4    5.100    0.000   0.000   0.000   0.000 0.000 173.169 197.987   6.000  5.999   99.900   99.900   99.900    3.005  0.554  0.111  0.610  6.710  0.150    0.000
  1 15  6    4    6.100    0.000   0.000   0.000   0.000 0.000 173.169 187.461   6.000  6.000   99.900   99.887   99.887    3.156  0.539  0.111  0.617  6.710  0.150    0.000
  1  1  7    4    2.000    0.000   0.000   0.000   0.000 0.000 173.169 162.636   6.000  6.000   99.900   99.855   99.855    3.369  0.519  0.111  0.625  6.710  0.150    0.000
  1 15  7    4   14.700    0.000   0.000   0.000   0.000 0.000 173.169 195.389   6.000  6.000   99.900   99.826   99.826    3.547  0.504  0.111  0.632  6.710  0.150    0.000
  1  1  8    4    0.000    0.000   0.000   0.000   0.000 0.000 173.169 181.315   6.000  6.000   99.900   99.775   99.775    3.793  0.484  0.111  0.641  6.710  0.150    0.000
  1 15  8    4    6.100    0.000   0.000   0.000   0.000 0.000 173.169 132.077   6.000  6.000   99.900   99.739   99.739    4.017  0.472  0.111  0.647  6.710  0.150    0.000
  1  1  9    4    0.000    0.000   0.000   0.000   0.000 0.000 173.169  92.407   6.000  6.000   99.900   99.688   99.688    4.215  0.458  0.111  0.654  6.710  0.150    0.000
  1 15  9    4    3.800    0.000   0.000   0.000   0.000 0.000 173.169  68.124   6.000  6.000   94.905   99.763   99.763    4.187  0.085  0.111  0.658  6.710  0.150    0.000
  1  1 10    4    0.000    0.000   0.000   0.000   0.000 0.000 173.169  65.003   6.000  6.000   86.025   99.877   99.877    4.035  0.234  0.111  0.661  6.710  0.150    0.000
  1 15 10    4    7.900    0.000   0.000   0.000   0.000 0.000 173.169  80.516   6.000  6.000   78.255   99.900   99.900    3.902  0.363  0.111  0.665  6.710  0.150    0.000
  1  1 11    4    0.000    0.000   0.000   0.000   0.000 0.000 173.169  78.801   6.000  6.000   68.820   99.900   99.900    3.741  0.517  0.111  0.668  6.710  0.150    0.000
  1 15 11    4    0.000    0.000   0.000   0.000   0.000 0.000 173.169  88.137   6.000  6.000   61.050   99.900   99.900    3.608  0.648  0.111  0.105  6.710  0.150    0.000
  1  1 12    4    0.000    0.000   0.000   0.000   0.000 0.000 173.169  81.868   6.000  6.000   52.170   99.900   99.900    3.456  0.799  0.111  0.669  6.710  0.150    0.000
  1 15 12    4    0.000    0.000   0.000   0.000   0.000 0.000 173.169  96.372   6.000  6.000   49.950   99.900   99.900    3.418  0.834  0.111  0.670  6.710  0.150    0.000
  1  1  1    5    0.000    0.000   0.000   0.000   0.000 0.000 173.169  99.721   6.000  6.000   99.900   99.900   99.900    3.418  0.833  0.111  0.670  6.710  0.150    0.000
  1 15  1    5    0.000    0.000   0.000   0.000   0.000 0.000 173.169 105.473   6.000  6.000   99.900   99.900   99.900    3.418  0.829  0.111  0.671  6.710  0.150    0.000
  1  1  2    5    0.000    0.000   0.000   0.000   0.000 0.000 173.169  96.458   6.000  6.000   99.900   99.900   99.900    3.420  0.825  0.111  0.105  6.710  0.150    0.000
  1 15  2    5    0.000    0.000   0.000   0.000   0.000 0.000  91.117  90.169   6.000  6.000   99.900   99.900   99.900    3.420  0.824  0.111  0.105  6.710  0.150    0.000
  1  1  3    5    0.000    0.000   0.000   0.000   0.000 0.000 173.169  84.266   6.000  6.000   99.900   99.900   99.900    3.423  0.821  0.111  0.673  6.710  0.150    0.000
  1 15  3    5    0.000    0.000   0.000   0.000   0.000 0.000 173.169 114.001   6.000  6.000   99.900   99.900   99.900    3.439  0.813  0.111  0.675  6.710  0.150    0.000
  1  1  4    5    0.000    0.000   0.000   0.000   0.000 0.000 173.169 139.557   6.000  6.000   99.900   99.900   99.900    3.465  0.805  0.111  0.677  6.710  0.150    0.000
  1 15  4    5    0.000    0.000   0.000   0.000   0.000 0.000 173.169 266.280   6.000  6.000   99.900   99.900   99.900    3.490  0.796  0.111  0.679  6.710  0.150    0.000
  1 20  4    5    2.000    2.909   0.000   0.131  22.259 1.000 173.169 444.434   6.000  6.000   99.900   99.900   99.900    3.541  0.787  0.111  0.682  6.710  0.150    0.000
  1 21  4    5    0.000    3.635   0.000   0.151  24.000 1.000  95.673 461.231   6.000  6.000   99.900   99.900   99.900    3.549  0.785  0.111  0.682  6.710  0.150    0.000
  1  1  5    5    0.000    0.000   0.000   0.000   0.000 0.000 173.169 310.857   6.000  6.000   99.900   99.900   99.900    3.587  0.777  0.111  0.684  6.710  0.150    0.000
  1 15  5    5    0.000    0.000   0.000   0.000   0.000 0.000 173.169 180.377   6.000  6.000   99.900   99.900   99.900    3.731  0.756  0.111  0.689  6.710  0.150    0.000
  1  1  6    5    2.800    0.000   0.000   0.000   0.000 0.000 173.169 171.190   6.000  6.000   99.900   99.900   99.900    3.887  0.733  0.111  0.695  6.710  0.150    0.000
  1 15  6    5    8.900    0.000   0.000   0.000   0.000 0.000 173.169 165.450   6.000  6.000   99.900   99.900   99.900    4.034  0.713  0.111  0.700  6.710  0.150    0.000
  1  1  7    5    0.000    0.000   0.000   0.000   0.000 0.000 173.169 106.683   6.000  6.000   99.900   99.900   99.900    4.284  0.687  0.111  0.707  6.710  0.150    0.000
  1 15  7    5    0.000    0.000   0.000   0.000   0.000 0.000 173.169  65.130   6.000  6.000   99.900   99.900   99.900    4.450  0.674  0.111  0.711  6.710  0.150    0.000
  1  1  8    5    0.000    0.000   0.000   0.000   0.000 0.000 173.169  64.287   6.000  6.000   99.900   99.900   99.900    4.453  0.663  0.111  0.713  6.710  0.150    0.000
  1 15  8    5    0.000    0.000   0.000   0.000   0.000 0.000 173.169  64.282   6.000  6.000   99.900   99.900   99.900    4.453  0.654  0.111  0.716  6.710  0.150    0.000
  1  1  9    5    0.000    0.000   0.000   0.000   0.000 0.000 173.169  64.282   6.000  6.000   99.900   99.900   99.900    4.453  0.644  0.111  0.719  6.710  0.150    0.000
  1 15  9    5    0.000    0.000   0.000   0.000   0.000 0.000 173.169  70.249   6.000  6.000   94.905   99.900   99.900    4.378  0.089  0.111  0.723  6.710  0.150    0.000
  1  1 10    5    0.000    0.000   0.000   0.000   0.000 0.000 173.169  64.916   6.000  6.000   86.025   99.900   99.900    4.219  0.245  0.111  0.726  6.710  0.150    0.000
  1 15 10    5    0.000    0.000   0.000   0.000   0.000 0.000 173.169  80.427   6.000  6.000   78.255   99.900   99.900    4.080  0.380  0.111  0.728  6.710  0.150    0.000
  1  1 11    5    0.000    0.000   0.000   0.000   0.000 0.000 173.169 154.381   6.000  6.000   68.820   99.900   99.900    3.911  0.543  0.111  0.730  6.710  0.150    0.000
  1 15 11    5    0.000    0.000   0.000   0.000   0.000 0.000 173.169 155.708   6.000  6.000   61.050   99.900   99.900    3.772  0.680  0.111  0.730  6.710  0.150    0.000
  1  1 12    5    0.000    0.000   0.000   0.000   0.000 0.000 173.169 147.587   6.000  6.000   52.170   99.900   99.900    3.613  0.838  0.111  0.731  6.710  0.150    0.000
  1 15 12    5    0.000    0.000   0.000   0.000   0.000 0.000 173.169 142.556   6.000  6.000   49.950   99.900   99.900    3.574  0.877  0.111  0.731  6.710  0.150    0.000
  1  1  1    6    0.000    0.000   0.000   0.000   0.000 0.000 173.169 145.541   6.000  6.000   99.900   99.900   99.900    3.574  0.873  0.111  0.731  6.710  0.150    0.000
  1 15  1    6    0.000    0.000   0.000   0.000   0.000 0.000 173.169 142.111   6.000  6.000   99.900   99.900   99.900    3.574  0.871  0.111  0.732  6.710  0.150    0.000
  1  1  2    6    0.000    0.000   0.000   0.000   0.000 0.000 173.169 137.510   6.000  6.000   99.900   99.900   99.900    3.575  0.867  0.111  0.733  6.710  0.150    0.000
  1 15  2    6    0.000    0.000   0.000   0.000   0.000 0.000 173.169 139.719   6.000  6.000   99.900   99.900   99.900    3.579  0.862  0.111  0.105  6.710  0.150    0.000
  1  1  3    6    0.000    0.000   0.000   0.000   0.000 0.000 173.169 299.975   6.000  6.000   99.900   99.900   99.900    3.593  0.855  0.111  0.105  6.710  0.150    0.000
  1 15  3    6    0.000    0.000   0.000   0.000   0.000 0.000 173.169 323.898   6.000  6.000   99.900   99.900   99.900    3.601  0.850  0.111  0.736  6.710  0.150    0.000
  1  1  4    6    0.000    0.000   0.000   0.000   0.000 0.000 173.169 249.474   6.000  6.000   99.900   99.900   99.900    3.614  0.842  0.111  0.737  6.710  0.150    0.000
  1 15  4    6    0.000    0.000   0.000   0.000   0.000 0.000 173.169 266.236   6.000  6.000   99.900   99.900   99.900    3.625  0.835  0.111  0.738  6.710  0.150    0.000
  1  1  5    6    0.000    0.000   0.000   0.000   0.000 0.000 173.169 377.889   6.000  6.000   99.900   99.900   99.900    3.680  0.823  0.111  0.741  6.710  0.150    0.000
  1 11  5    6   13.000    0.567   0.000   0.131   4.337 1.000 173.169 504.853   6.000  6.000   99.900   99.900   99.900    3.753  0.811  0.111  0.743  6.710  0.150    0.000
  1 15  5    6    0.000    0.000   0.000   0.000   0.000 0.000 173.169 434.117   6.000  6.000   99.900   99.900   99.900    3.780  0.806  0.111  0.744  6.710  0.150    0.000
  1  1  6    6    0.000    0.000   0.000   0.000   0.000 0.000 173.169 181.271   6.000  6.000   99.900   99.900   99.900    3.973  0.781  0.111  0.749  6.710  0.150    0.000
  1 15  6    6    0.000    0.000   0.000   0.000   0.000 0.000 173.169 182.676   6.000  6.000   99.900   99.900   99.900    4.127  0.762  0.111  0.752  6.710  0.150    0.000
  1  1  7    6    0.000    0.000   0.000   0.000   0.000 0.000 173.169 150.218   6.000  6.000   99.900   99.900   99.900    4.342  0.736  0.111  0.757  6.710  0.150    0.000
  1 15  7    6    0.000    0.000   0.000   0.000   0.000 0.000 173.169 125.781   6.000  6.000   99.900   99.900   99.900    4.573  0.708  0.111  0.763  6.710  0.150    0.000
