 OFE DD MM YYYY  Precip   Runoff   EffInt PeakRO  EffDur Enrich    Keff   Sm  LeafArea  CanHgt  Cancov IntCov  RilCov  LivBio DeadBio  Ki    Kr     Tcrit RilWid   SedLeave
 na  na na  na     mm       mm     mm/h    mm/h      h    Ratio    mm/h   mm    Index    m       %       %       %     Kg/m^2  Kg/m^2  na    na      na     m       kg/m
  1  1  1    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 370.895   5.089  2.337   90.000   99.900   99.900    0.164  1.381  0.111  0.249  6.710  0.150    0.000
  1 15  1    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 233.838   5.092  2.339   90.022   99.897   99.897    0.165  1.376  0.111  0.250  6.710  0.150    0.000
  1  1  2    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 209.886   5.092  2.339   90.022   99.896   99.896    0.165  1.374  0.111  0.250  6.710  0.150    0.000
  1 15  2    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 231.395   5.092  2.339   90.022   99.895   99.895    0.165  1.372  0.111  0.105  6.710  0.150    0.000
  1  1  3    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 212.557   5.121  2.360   90.298   99.892   99.892    0.167  1.366  0.111  0.252  6.710  0.150    0.000
  1 15  3    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 218.563   5.179  2.404   90.832   99.887   99.887    0.171  1.358  0.111  0.254  6.710  0.150    0.000
  1  1  4    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 341.402   5.556  2.774   94.478   99.876   99.876    0.207  1.339  0.111  0.259  6.710  0.150    0.000
  1 15  4    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 458.889   5.871  3.407   98.004   99.860   99.860    0.280  1.314  0.111  0.265  6.710  0.150    0.000
  1  1  5    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 285.183   5.954  3.846   99.160   99.843   99.843    0.341  1.291  0.111  0.271  6.710  0.150    0.000
  1 15  5    1    5.100    0.000   0.000   0.000   0.000 0.000 173.169 230.204   5.988  4.316   99.734   99.823   99.823    0.424  1.267  0.111  0.277  6.710  0.150    0.000
  1  1  6    1   31.000    0.000   0.000   0.000   0.000 0.000 173.169 311.256   5.999  4.880   99.960   99.791   99.791    0.559  1.234  0.111  0.286  6.710  0.150    0.000
  1 15  6    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 248.970   6.000  5.234   99.993   99.759   99.759    0.686  1.206  0.111  0.293  6.710  0.150    0.000
  1  1  7    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 153.085   6.000  5.653  100.000   99.706   99.706    0.950  1.166  0.111  0.305  6.710  0.150    0.000
  1 15  7    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169  87.991   6.000  5.830  100.000   99.680   99.680    1.188  1.149  0.111  0.309  6.710  0.150    0.000
  1  1  8    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169  77.435   6.000  5.895  100.000   99.628   99.628    1.349  1.119  0.111  0.318  6.710  0.150    0.000
  1 15  8    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169  64.830   6.000  5.907  100.000   99.588   99.588    1.389  1.098  0.111  0.325  6.710  0.150    0.000
  1  1  9    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169  84.347   6.000  5.924  100.000   99.505   99.505    1.457  1.062  0.111  0.336  6.710  0.150    0.000
  1 15  9    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169  66.513   6.000  5.930   95.000   99.508   99.508    1.454  0.030  0.111  0.344  6.710  0.150    0.000
  1  1 10    1    9.900    0.000   0.000   0.000   0.000 0.000 173.169  71.587   6.000  5.930   86.111   99.587   99.587    1.401  0.081  0.111  0.349  6.710  0.150    0.000
  1 15 10    1   20.800    0.000   0.000   0.000   0.000 0.000 173.169 143.591   6.000  5.930   78.333   99.650   99.650    1.355  0.126  0.111  0.353  6.710  0.150    0.000
  1  1 11    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 261.091   6.000  5.930   68.889   99.714   99.714    1.299  0.180  0.111  0.358  6.710  0.150    0.000
  1 15 11    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 309.841   6.000  5.930   61.111   99.762   99.762    1.253  0.225  0.111  0.361  6.710  0.150    0.000
  1  1 12    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 230.945   6.000  5.930   52.222   99.812   99.812    1.200  0.276  0.111  0.362  6.710  0.150    0.000
  1 15 12    1    0.000    0.000   0.000   0.000   0.000 0.000 173.169 221.696   6.000  5.930   50.000   99.824   99.824    1.187  0.289  0.111  0.363  6.710  0.150    0.000
  1  1  1    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 216.492   6.000  5.829  100.000   99.824   99.824    1.187  0.289  0.111  0.363  6.710  0.150    0.000
  1 15  1    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 215.619   6.000  5.829  100.000   99.821   99.821    1.187  0.288  0.111  0.364  6.710  0.150    0.000
  1  1  2    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 210.588   6.000  5.829  100.000   99.819   99.819    1.187  0.288  0.111  0.364  6.710  0.150    0.000
  1 15  2    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 263.803   6.000  5.833  100.000   99.809   99.809    1.194  0.285  0.111  0.367  6.710  0.150    0.000
  1  1  3    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 264.209   6.000  5.835  100.000   99.801   99.801    1.198  0.283  0.111  0.370  6.710  0.150    0.000
  1 15  3    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 238.499   6.000  5.835  100.000   99.797   99.797    1.198  0.283  0.111  0.370  6.710  0.150    0.000
  1  1  4    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 222.450   6.000  5.843  100.000   99.785   99.785    1.215  0.280  0.111  0.374  6.710  0.150    0.000
  1 15  4    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 328.759   6.000  5.851  100.000   99.774   99.774    1.232  0.278  0.111  0.376  6.710  0.150    0.000
  1  1  5    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 408.741   6.000  5.878  100.000   99.748   99.748    1.298  0.273  0.111  0.382  6.710  0.150    0.000
  1 15  5    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 274.308   6.000  5.903  100.000   99.723   99.723    1.375  0.268  0.111  0.388  6.710  0.150    0.000
  1  1  6    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 241.378   6.000  5.937  100.000   99.673   99.673    1.521  0.261  0.111  0.397  6.710  0.150    0.000
  1 15  6    2   16.000    0.000   0.000   0.000   0.000 0.000 173.169 244.627   6.000  5.958  100.000   99.623   99.623    1.653  0.254  0.111  0.405  6.710  0.150    0.000
  1  1  7    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 215.837   6.000  5.977  100.000   99.544   99.544    1.858  0.246  0.111  0.417  6.710  0.150    0.000
  1 15  7    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 146.180   6.000  5.989  100.000   99.476   99.476    2.099  0.239  0.111  0.425  6.710  0.150    0.000
  1  1  8    2    4.100    0.000   0.000   0.000   0.000 0.000 173.169  85.656   6.000  5.995  100.000   99.414   99.414    2.398  0.234  0.111  0.432  6.710  0.150    0.000
  1 15  8    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169  64.607   6.000  5.997  100.000   99.366   99.366    2.487  0.231  0.111  0.437  6.710  0.150    0.000
  1  1  9    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169  64.300   6.000  5.997  100.000   99.311   99.311    2.488  0.227  0.111  0.443  6.710  0.150    0.000
  1 15  9    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169  65.400   6.000  5.997   95.000   99.409   99.409    2.438  0.050  0.111  0.447  6.710  0.150    0.000
  1  1 10    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169  64.441   6.000  5.997   86.111   99.586   99.586    2.350  0.137  0.111  0.452  6.710  0.150    0.000
  1 15 10    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169  64.324   6.000  5.997   78.333   99.697   99.697    2.272  0.212  0.111  0.456  6.710  0.150    0.000
  1  1 11    2    0.000    0.000   0.000   0.000   0.000 0.000  95.673 107.719   6.000  5.997   68.889   99.803   99.803    2.178  0.304  0.111  0.105  6.710  0.150    0.000
  1 15 11    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 166.024   6.000  5.997   61.111   99.860   99.860    2.101  0.379  0.111  0.105  6.710  0.150    0.000
  1  1 12    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 213.348   6.000  5.997   52.222   99.900   99.900    2.013  0.466  0.111  0.462  6.710  0.150    0.000
  1 15 12    2    0.000    0.000   0.000   0.000   0.000 0.000 173.169 256.456   6.000  5.997   50.000   99.900   99.900    1.990  0.487  0.111  0.462  6.710  0.150    0.000
  1  1  1    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 219.359   6.000  5.985  100.000   99.900   99.900    1.990  0.485  0.111  0.464  6.710  0.150    0.000
  1 15  1    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 211.994   6.000  5.985  100.000   99.900   99.900    1.990  0.485  0.111  0.464  6.710  0.150    0.000
  1  1  2    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 228.032   6.000  5.985  100.000   99.900   99.900    1.993  0.482  0.111  0.466  6.710  0.150    0.000
  1 15  2    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 267.955   6.000  5.985  100.000   99.900   99.900    1.996  0.479  0.111  0.468  6.710  0.150    0.000
  1  1  3    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 320.061   6.000  5.985  100.000   99.900   99.900    2.008  0.474  0.111  0.471  6.710  0.150    0.000
  1 15  3    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 400.698   6.000  5.987  100.000   99.891   99.891    2.044  0.467  0.111  0.475  6.710  0.150    0.000
  1  1  4    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 209.843   6.000  5.989  100.000   99.878   99.878    2.089  0.460  0.111  0.481  6.710  0.150    0.000
  1 15  4    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 224.089   6.000  5.990  100.000   99.867   99.867    2.126  0.454  0.111  0.484  6.710  0.150    0.000
  1  1  5    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 223.093   6.000  5.992  100.000   99.846   99.846    2.219  0.444  0.111  0.491  6.710  0.150    0.000
  1 15  5    3    0.000    0.000   0.000   0.000   0.000 0.000 173.169 167.856   6.000  5.995  100.000   99.818   99.818    2.351  0.432  0.111  0.499  6.710  0.150    0.000
