 Dist. Downslope Elevation Soil Loss

   (meters)   (meters)  (kg/m**2)

      0.541     15.217      0.000
      1.082     15.033      0.000
      1.622     14.849      0.000
      2.163     14.666      0.000
      2.704     14.484      0.000
      3.245     14.302      0.000
      3.786     14.121      0.000
      4.326     13.941      0.000
      4.867     13.762      0.000
      5.408     13.583      0.000
      5.949     13.405      0.000
      6.490     13.228      0.000
      7.030     13.052      0.000
      7.571     12.876      0.000
      8.112     12.702      0.000
      8.653     12.527      0.000
      9.194     12.354      0.000
      9.734     12.181      0.000
     10.275     12.010      0.000
     10.816     11.839      0.000
     11.357     11.668      0.000
     11.898     11.499      0.000
     12.438     11.330      0.000
     12.979     11.162      0.000
     13.520     10.994      0.000
     14.061     10.828      0.000
     14.601     10.662      0.000
     15.142     10.497      0.000
     15.683     10.332      0.000
     16.224     10.169      0.000
     16.765     10.006      0.000
     17.305      9.843      0.000
     17.846      9.682      0.000
     18.387      9.521      0.000
     18.928      9.362      0.000
     19.469      9.202      0.000
     20.009      9.044      0.000
     20.550      8.886      0.000
     21.091      8.729      0.000
     21.632      8.573      0.000
     22.173      8.418      0.000
     22.713      8.263      0.000
     23.254      8.109      0.000
     23.795      7.956      0.000
     24.336      7.804      0.000
     24.877      7.652      0.000
     25.417      7.501      0.000
     25.958      7.351      0.000
     26.499      7.201      0.000
     27.040      7.053      0.000
     27.581      6.904      0.000
     28.121      6.757      0.000
     28.662      6.609      0.000
     29.203      6.462      0.000
     29.744      6.315      0.000
     30.285      6.168      0.000
     30.825      6.022      0.000
     31.366      5.875      0.000
     31.907      5.730      0.000
     32.448      5.584      0.000
     32.989      5.439      0.000
     33.529      5.294      0.000
     34.070      5.149      0.000
     34.611      5.005      0.000
     35.152      4.861      0.000
     35.693      4.717      0.000
     36.233      4.573      0.000
     36.774      4.430      0.000
     37.315      4.287      0.000
     37.856      4.144      0.000
     38.397      4.002      0.000
     38.937      3.860      0.000
     39.478      3.718      0.000
     40.019      3.577      0.000
     40.560      3.435      0.000
     41.100      3.295      0.000
     41.641      3.154      0.000
     42.182      3.014      0.000
     42.723      2.874      0.000
     43.264      2.734      0.000
     43.804      2.594      0.000
     44.345      2.455      0.000
     44.886      2.316      0.000
     45.427      2.178      0.000
     45.968      2.039      0.000
     46.508      1.901      0.000
     47.049      1.764      0.000
     47.590      1.626      0.000
     48.131      1.489      0.000
     48.672      1.352      0.000
     49.212      1.216      0.000
     49.753      1.080      0.000
     50.294      0.944      0.000
     50.835      0.808      0.000
     51.376      0.673      0.000
     51.916      0.537      0.000
     52.457      0.403      0.000
     52.998      0.268      0.000
     53.539      0.134      0.000
     54.080      0.000      0.000
