 Dist. Downslope Elevation Soil Loss

   (meters)   (meters)  (kg/m**2)

      1.500     47.619      0.000
      3.000     47.405      0.000
      4.500     47.174      0.000
      6.000     46.925      0.000
      7.500     46.658      0.000
      9.000     46.374      0.000
     10.500     46.072      0.000
     12.000     45.753      0.000
     13.500     45.416      0.000
     15.000     45.061      0.000
     16.500     44.689      0.000
     18.000     44.300      0.000
     19.500     43.898      0.000
     21.000     43.481      0.000
     22.500     43.050      0.000
     24.000     42.606      0.000
     25.500     42.147      0.000
     27.000     41.674      0.000
     28.500     41.187      0.000
     30.000     40.686      0.000
     31.500     40.170      0.000
     33.000     39.641      0.000
     34.500     39.102      0.000
     36.000     38.563      0.000
     37.500     38.025      0.000
     39.000     37.487      0.000
     40.500     36.949      0.000
     42.000     36.412      0.000
     43.500     35.875      0.000
     45.000     35.338      0.000
     46.500     34.802      0.000
     48.000     34.266      0.000
     49.500     33.731      0.000
     51.000     33.197      0.000
     52.500     32.667      0.000
     54.000     32.141      0.000
     55.500     31.618      0.000
     57.000     31.101      0.000
     58.500     30.587      0.000
     60.000     30.077      0.000
     61.500     29.571      0.000
     63.000     29.070      0.000
     64.500     28.572      0.000
     66.000     28.079      0.000
     67.500     27.588      0.000
     69.000     27.093      0.000
     70.500     26.592      0.000
     72.000     26.086      0.000
     73.500     25.574      0.000
     75.000     25.057      0.000
     76.500     24.534      0.000
     78.000     24.006      0.000
     79.500     23.473      0.000
     81.000     22.934      0.000
     82.500     22.389      0.000
     84.000     21.839      0.000
     85.500     21.286      0.000
     87.000     20.729      0.000
     88.500     20.170      0.000
     90.000     19.607      0.000
     91.500     19.041      0.000
     93.000     18.471      0.000
     94.500     17.899      0.000
     96.000     17.323      0.000
     97.500     16.744      0.000
     99.000     16.162      0.000
    100.500     15.578      0.000
    102.000     15.000      0.000
    103.500     14.430      0.000
    105.000     13.870      0.000
    106.500     13.318      0.000
    108.000     12.776      0.000
    109.500     12.242      0.000
    111.000     11.718      0.000
    112.500     11.202      0.000
    114.000     10.695      0.000
    115.500     10.198      0.000
    117.000      9.709      0.000
    118.500      9.226      0.000
    120.000      8.749      0.000
    121.500      8.277      0.000
    123.000      7.810      0.000
    124.500      7.348      0.000
    126.000      6.892      0.000
    127.500      6.441      0.000
    129.000      5.995      0.000
    130.500      5.554      0.000
    132.000      5.119      0.000
    133.500      4.688      0.000
    135.000      4.260      0.000
    136.500      3.833      0.000
    138.000      3.405      0.000
    139.500      2.978      0.000
    141.000      2.552      0.000
    142.500      2.126      0.000
    144.000      1.700      0.000
    145.500      1.274      0.000
    147.000      0.849      0.000
    148.500      0.424      0.000
    150.000      0.000      0.000
